Anopheles gambiae	49
Arabidopsis thaliana	14
Bos taurus	119
Bacillus subtilis	2
Caenorhabditis elegans	43
Canis familiaris	117
Clostridium thermocellum	0
Danio rerio	108
Drosophila melanogaster	35
Escherichia coli	0
Equus caballus	12
Gallus gallus	103
Glycine max	0
Gibberella zeae	0
Homo sapiens	463
Mus musculus	203
Mycobacterium tuberculosis	112
Oryza sativa	4
Pan troglodytes	120
Populus trichocarpa	0
Rattus norvegicus	180
Saccharomyces cerevisiae	131
Solanum lycopersicum	0
Sus scrofa	12
Vitis vinifera	0
Xenopus tropicalis	0
Zea mays	2
total	1829
