Anopheles gambiae	406
Arabidopsis thaliana	90
Bos taurus	3202
Bacillus subtilis	14
Caenorhabditis elegans	846
Canis familiaris	3064
Clostridium thermocellum	0
Danio rerio	2727
Drosophila melanogaster	587
Escherichia coli	0
Equus caballus	214
Gallus gallus	2411
Glycine max	0
Gibberella zeae	0
Homo sapiens	4963
Mus musculus	4300
Mycobacterium tuberculosis	939
Oryza sativa	9
Pan troglodytes	3060
Populus trichocarpa	0
Rattus norvegicus	4170
Saccharomyces cerevisiae	991
Solanum lycopersicum	0
Sus scrofa	106
Vitis vinifera	0
Xenopus tropicalis	0
Zea mays	0
