Identifier	Database
406370	Entrez Gene
406370	Entrez Gene
791800	Entrez Gene
567204	Entrez Gene
567204	Entrez Gene
768195	Entrez Gene
559148	Entrez Gene
791800	Entrez Gene
322732	Entrez Gene
246226	Entrez Gene
559020	Entrez Gene
792041	Entrez Gene
567284	Entrez Gene
393387	Entrez Gene
406575	Entrez Gene
544666	Entrez Gene
799964	Entrez Gene
336492	Entrez Gene
HMDB01043	HMDB
HMDB01193	HMDB
HMDB03252	HMDB
HMDB01452	HMDB
HMDB01381	HMDB
HMDB01403	HMDB
HMDB01139	HMDB
HMDB01337	HMDB
HMDB01085	HMDB
HMDB01198	HMDB
HMDB03080	HMDB
HMDB02200	HMDB
HMDB01335	HMDB
