Identifier	Database
100135062	Entrez Gene
563639	Entrez Gene
333979	Entrez Gene
100135062	Entrez Gene
406525	Entrez Gene
393953	Entrez Gene
360144	Entrez Gene
399480	Entrez Gene
562011	Entrez Gene
65237	Entrez Gene
245950	Entrez Gene
406598	Entrez Gene
100002225	Entrez Gene
557176	Entrez Gene
404211	Entrez Gene
335573	Entrez Gene
565756	Entrez Gene
100149273	Entrez Gene
406308	Entrez Gene
447804	Entrez Gene
556443	Entrez Gene
30716	Entrez Gene
445289	Entrez Gene
405769	Entrez Gene
325004	Entrez Gene
445073	Entrez Gene
569951	Entrez Gene
792354	Entrez Gene
338219	Entrez Gene
30296	Entrez Gene
565756	Entrez Gene
30664	Entrez Gene
559087	Entrez Gene
492364	Entrez Gene
560525	Entrez Gene
335916	Entrez Gene
568653	Entrez Gene
30654	Entrez Gene
100006516	Entrez Gene
567895	Entrez Gene
793920	Entrez Gene
556443	Entrez Gene
567204	Entrez Gene
567204	Entrez Gene
334571	Entrez Gene
334571	Entrez Gene
100135062	Entrez Gene
30265	Entrez Gene
30265	Entrez Gene
550286	Entrez Gene
100144557	Entrez Gene
368329	Entrez Gene
558635	Entrez Gene
791800	Entrez Gene
327204	Entrez Gene
557797	Entrez Gene
572469	Entrez Gene
30280	Entrez Gene
30298	Entrez Gene
30767	Entrez Gene
30768	Entrez Gene
