Identifier	Database
559281	Entrez Gene
561737	Entrez Gene
100002263	Entrez Gene
406598	Entrez Gene
394174	Entrez Gene
557176	Entrez Gene
404211	Entrez Gene
100000252	Entrez Gene
564088	Entrez Gene
571356	Entrez Gene
548346	Entrez Gene
558498	Entrez Gene
768202	Entrez Gene
792354	Entrez Gene
378972	Entrez Gene
30654	Entrez Gene
30664	Entrez Gene
368415	Entrez Gene
117507	Entrez Gene
555737	Entrez Gene
100002190	Entrez Gene
114428	Entrez Gene
664741	Entrez Gene
405805	Entrez Gene
768121	Entrez Gene
554439	Entrez Gene
406666	Entrez Gene
563639	Entrez Gene
406308	Entrez Gene
333979	Entrez Gene
561670	Entrez Gene
30716	Entrez Gene
406728	Entrez Gene
100002225	Entrez Gene
568951	Entrez Gene
100007679	Entrez Gene
65239	Entrez Gene
564899	Entrez Gene
558321	Entrez Gene
560211	Entrez Gene
325488	Entrez Gene
399480	Entrez Gene
406782	Entrez Gene
360144	Entrez Gene
565830	Entrez Gene
100002318	Entrez Gene
100149273	Entrez Gene
569698	Entrez Gene
555703	Entrez Gene
560932	Entrez Gene
562720	Entrez Gene
65237	Entrez Gene
563727	Entrez Gene
404626	Entrez Gene
553788	Entrez Gene
415185	Entrez Gene
560639	Entrez Gene
541323	Entrez Gene
568412	Entrez Gene
100005183	Entrez Gene
100038799	Entrez Gene
30681	Entrez Gene
334565	Entrez Gene
406349	Entrez Gene
571285	Entrez Gene
100009657	Entrez Gene
338219	Entrez Gene
565173	Entrez Gene
337670	Entrez Gene
561959	Entrez Gene
100001260	Entrez Gene
140819	Entrez Gene
492364	Entrez Gene
556277	Entrez Gene
558635	Entrez Gene
334527	Entrez Gene
100002756	Entrez Gene
556371	Entrez Gene
327510	Entrez Gene
445234	Entrez Gene
561345	Entrez Gene
30081	Entrez Gene
324254	Entrez Gene
493617	Entrez Gene
799566	Entrez Gene
373082	Entrez Gene
30498	Entrez Gene
394198	Entrez Gene
335916	Entrez Gene
555778	Entrez Gene
562032	Entrez Gene
100007176	Entrez Gene
550286	Entrez Gene
327396	Entrez Gene
325179	Entrez Gene
100149498	Entrez Gene
393953	Entrez Gene
555521	Entrez Gene
100144561	Entrez Gene
334571	Entrez Gene
562399	Entrez Gene
570106	Entrez Gene
337167	Entrez Gene
767781	Entrez Gene
567524	Entrez Gene
403031	Entrez Gene
567916	Entrez Gene
336281	Entrez Gene
30712	Entrez Gene
393159	Entrez Gene
447839	Entrez Gene
337401	Entrez Gene
566459	Entrez Gene
563459	Entrez Gene
550267	Entrez Gene
324140	Entrez Gene
570956	Entrez Gene
564523	Entrez Gene
30296	Entrez Gene
559249	Entrez Gene
567895	Entrez Gene
30431	Entrez Gene
100149671	Entrez Gene
574003	Entrez Gene
406578	Entrez Gene
406780	Entrez Gene
562720	Entrez Gene
445073	Entrez Gene
100001198	Entrez Gene
572074	Entrez Gene
563560	Entrez Gene
140614	Entrez Gene
327204	Entrez Gene
415151	Entrez Gene
562011	Entrez Gene
560913	Entrez Gene
560525	Entrez Gene
