Identifier	Database
394021	Entrez Gene
407646	Entrez Gene
795928	Entrez Gene
322228	Entrez Gene
30430	Entrez Gene
378847	Entrez Gene
560667	Entrez Gene
260441	Entrez Gene
58141	Entrez Gene
140622	Entrez Gene
81882	Entrez Gene
569433	Entrez Gene
556680	Entrez Gene
553189	Entrez Gene
317744	Entrez Gene
100004977	Entrez Gene
394052	Entrez Gene
100003075	Entrez Gene
569433	Entrez Gene
260441	Entrez Gene
569433	Entrez Gene
260441	Entrez Gene
387530	Entrez Gene
394240	Entrez Gene
541347	Entrez Gene
334195	Entrez Gene
394052	Entrez Gene
25513-46-6	CAS
59-30-3	CAS
135-16-0	CAS
4033-27-6	CAS
25513-46-6	CAS
134-35-0	CAS
2800-34-2	CAS
7444-29-3	CAS
63-68-3	CAS
107-43-7	CAS
29908-03-0	CAS
979-92-0	CAS
6027-13-0	CAS
450000	Entrez Gene
100004977	Entrez Gene
100144628	Entrez Gene
450000	Entrez Gene
81540	Entrez Gene
58141	Entrez Gene
81882	Entrez Gene
81882	Entrez Gene
