Identifier	Database
64671	Entrez Gene
677750	Entrez Gene
386711	Entrez Gene
407658	Entrez Gene
58114	Entrez Gene
368778	Entrez Gene
58071	Entrez Gene
402975	Entrez Gene
83773	Entrez Gene
140599	Entrez Gene
415209	Entrez Gene
403062	Entrez Gene
558627	Entrez Gene
353247	Entrez Gene
336165	Entrez Gene
641575	Entrez Gene
322221	Entrez Gene
100149766	Entrez Gene
100148848	Entrez Gene
556258	Entrez Gene
317731	Entrez Gene
406437	Entrez Gene
393908	Entrez Gene
556489	Entrez Gene
541384	Entrez Gene
492356	Entrez Gene
322509	Entrez Gene
406493	Entrez Gene
566928	Entrez Gene
