Identifier	Database
19207	Entrez Gene
20423	Entrez Gene
12534	Entrez Gene
19206	Entrez Gene
19207	Entrez Gene
13363	Entrez Gene
319757	Entrez Gene
16147	Entrez Gene
19206	Entrez Gene
19207	Entrez Gene
16147	Entrez Gene
14634	Entrez Gene
20481	Entrez Gene
24069	Entrez Gene
20220	Entrez Gene
20466	Entrez Gene
14632	Entrez Gene
14451	Entrez Gene
12914	Entrez Gene
13548	Entrez Gene
14633	Entrez Gene
269209	Entrez Gene
24069	Entrez Gene
12534	Entrez Gene
268697	Entrez Gene
14632	Entrez Gene
14633	Entrez Gene
14634	Entrez Gene
19206	Entrez Gene
24069	Entrez Gene
19335	Entrez Gene
19335	Entrez Gene
268697	Entrez Gene
319757	Entrez Gene
16002	Entrez Gene
13363	Entrez Gene
20423	Entrez Gene
20423	Entrez Gene
13363	Entrez Gene
16147	Entrez Gene
20423	Entrez Gene
15245	Entrez Gene
15245	Entrez Gene
15245	Entrez Gene
19206	Entrez Gene
