Identifier	Database
ENSMUSG00000034218	Ensembl
ENSMUSG00000020380	Ensembl
ENSMUSG00000000751	Ensembl
ENSMUSG00000031928	Ensembl
ENSMUSG00000028224	Ensembl
ENSMUSG00000027323	Ensembl
ENSMUSG00000000751	Ensembl
ENSMUSG00000000751	Ensembl
ENSMUSG00000034218	Ensembl
ENSMUSG00000027323	Ensembl
ENSMUSG00000027323	Ensembl
ENSMUSG00000041147	Ensembl
ENSMUSG00000041147	Ensembl
ENSMUSG00000041147	Ensembl
ENSMUSG00000000751	Ensembl
ENSMUSG00000030166	Ensembl
ENSMUSG00000027323	Ensembl
ENSMUSG00000030166	Ensembl
ENSMUSG00000038644	Ensembl
ENSMUSG00000041147	Ensembl
ENSMUSG00000030166	Ensembl
ENSMUSG00000078773	Ensembl
ENSMUSG00000078773	Ensembl
ENSMUSG00000020471	Ensembl
ENSMUSG00000030726	Ensembl
ENSMUSG00000024854	Ensembl
