Identifier	Database
1.8.1.13	Enzyme Nomenclature
290	Entrez Gene
2678	Entrez Gene
2878	Entrez Gene
1.8.4.4	Enzyme Nomenclature
1.8.4.1	Enzyme Nomenclature
2.8.1.3	Enzyme Nomenclature
1.8.5.1	Enzyme Nomenclature
1.8.4.3	Enzyme Nomenclature
1.8.3.3	Enzyme Nomenclature
1.11.1.12	Enzyme Nomenclature
1.8.4.7	Enzyme Nomenclature
1.8.4.2	Enzyme Nomenclature
1.5.4.1	Enzyme Nomenclature
2539	Entrez Gene
1.1.1.43	Enzyme Nomenclature
3417	Entrez Gene
2936	Entrez Gene
2937	Entrez Gene
2729	Entrez Gene
2678	Entrez Gene
3.4.11.4	Enzyme Nomenclature
290	Entrez Gene
26873	Entrez Gene
2.3.2.4	Enzyme Nomenclature
2678	Entrez Gene
2.3.2.4	Enzyme Nomenclature
2.3.1.80	Enzyme Nomenclature
6.3.1.8	Enzyme Nomenclature
3.5.1.78	Enzyme Nomenclature
2876	Entrez Gene
2877	Entrez Gene
2879	Entrez Gene
221357	Entrez Gene
2938	Entrez Gene
2944	Entrez Gene
2952	Entrez Gene
2953	Entrez Gene
2946	Entrez Gene
2687	Entrez Gene
2687	Entrez Gene
2730	Entrez Gene
2687	Entrez Gene
C00127	KEGG Compound
HMDB00221	HMDB
HMDB00217	HMDB
C00051	KEGG Compound
HMDB00123	HMDB
C01419	KEGG Compound
C03740	KEGG Compound
C0151	KEGG Compound
C01879	KEGG Compound
C00025	KEGG Compound
C00097	KEGG Compound
C00669	KEGG Compound
C03646	KEGG Compound
C02320	KEGG Compound
C00025	KEGG Compound
HMDB00123	HMDB
HMDB01206	HMDB
440772	PubChem-compound
C05729	KEGG Compound
C05726	KEGG Compound
8030	PubChem-substance
