Identifier	Database
LOC_Os03g07880	Rice Ensembl Gene
LOC_Os02g53620	Rice Ensembl Gene
LOC_Os07g06470	Rice Ensembl Gene
LOC_Os03g44540	Rice Ensembl Gene
LOC_Os03g48970	Rice Ensembl Gene
LOC_Os07g41720	Rice Ensembl Gene
LOC_Os12g42400	Rice Ensembl Gene
LOC_Os03g29760	Rice Ensembl Gene
LOC_Os12g41880	Rice Ensembl Gene
LOC_Os11g05930	Rice Ensembl Gene
LOC_Os03g17570	Rice Ensembl Gene
LOC_Os08g06110 	Rice Ensembl Gene
LOC_Os02g42380	Rice Ensembl Gene
LOC_Os06g47890	Rice Ensembl Gene
LOC_Os01g08700	Rice Ensembl Gene
LOC_Os01g74020	Rice Ensembl Gene
LOC_Os02g40510	Rice Ensembl Gene
LOC_Os07g49460	Rice Ensembl Gene
LOC_Os11g40610	Rice Ensembl Gene
LOC_Os01g74020	Rice Ensembl Gene
LOC_Os06g05060	Rice Ensembl Gene
LOC_Os02g53140	Rice Ensembl Gene
LOC_Os01g08700	Rice Ensembl Gene
LOC_Os11g34460	Rice Ensembl Gene
LOC_Os06g47890	Rice Ensembl Gene
LOC_Os02g05700	Rice Ensembl Gene
LOC_Os11g34460	Rice Ensembl Gene
LOC_Os01g15900	Rice Ensembl Gene
LOC_Os01g15900	Rice Ensembl Gene
LOC_Os07g48570	Rice Ensembl Gene
LOC_Os03g07360	Rice Ensembl Gene
LOC_Os06g16370	Rice Ensembl Gene
LOC_Os06g19444	Rice Ensembl Gene
LOC_Os05g06270	Rice Ensembl Gene
LOC_Os02g02880	Rice Ensembl Gene
LOC_Os02g32430	Rice Ensembl Gene
LOC_Os09g29310	Rice Ensembl Gene
LOC_Os06g16370	Rice Ensembl Gene
LOC_Os04g37920	Rice Ensembl Gene
LOC_Os02g41550	Rice Ensembl Gene
LOC_Os03g51030	Rice Ensembl Gene
LOC_Os09g13610	Rice Ensembl Gene
LOC_Os05g49590	Rice Ensembl Gene
LOC_Os01g52640	Rice Ensembl Gene
LOC_Os03g19590	Rice Ensembl Gene
LOC_Os03g19590	Rice Ensembl Gene
LOC_Os01g11940	Rice Ensembl Gene
LOC_Os10g17770	Rice Ensembl Gene
LOC_Os05g47650	Rice Ensembl Gene
LOC_Os04g42020	Rice Ensembl Gene
LOC_Os04g55560	Rice Ensembl Gene
LOC_Os05g03040	Rice Ensembl Gene
LOC_Os01g72220	Rice Ensembl Gene
LOC_Os04g47270	Rice Ensembl Gene
LOC_Os09g34070	Rice Ensembl Gene
LOC_Os01g51300 	Rice Ensembl Gene
LOC_Os12g40560	Rice Ensembl Gene
LOC_Os01g70810	Rice Ensembl Gene
LOC_Os09g03610	Rice Ensembl Gene
LOC_Os02g46450	Rice Ensembl Gene
LOC_Os08g01054	Rice Ensembl Gene
LOC_Os02g05840	Rice Ensembl Gene
LOC_Os10g17770	Rice Ensembl Gene
LOC_Os03g52700	Rice Ensembl Gene
LOC_Os10g41440	Rice Ensembl Gene
LOC_Os07g09510	Rice Ensembl Gene
LOC_Os01g25370	Rice Ensembl Gene
LOC_Os06g16390	Rice Ensembl Gene
LOC_Os03g19480	Rice Ensembl Gene
LOC_Os12g40120	Rice Ensembl Gene
LOC_Os08g04270	Rice Ensembl Gene
LOC_Os02g05840	Rice Ensembl Gene
LOC_Os03g43890	Rice Ensembl Gene
LOC_Os12g34850	Rice Ensembl Gene
LOC_Os9g13630	Rice Ensembl Gene
LOC_Os05g41790	Rice Ensembl Gene
LOC_Os03g09310	Rice Ensembl Gene
LOC_Os03g09310	Rice Ensembl Gene
LOC_Os09g38790	Rice Ensembl Gene
AT3G12810	TAIR
LOC_Os02g04100	Rice Ensembl Gene
LOC_Os02g34850	Rice Ensembl Gene
LOC_Os12g07950	Rice Ensembl Gene
LOC_Os10g39130 	Rice Ensembl Gene
LOC_Os04g41910	Rice Ensembl Gene
LOC_Os09g36910	Rice Ensembl Gene
LOC_Os02g52340 	Rice Ensembl Gene
LOC_Os05g33730	Rice Ensembl Gene
LOC_Os07g32170	Rice Ensembl Gene
LOC_Os07g41370	Rice Ensembl Gene
LOC_Os03g49990	Rice Ensembl Gene
  LOC_Os02g17780	Rice Ensembl Gene
LOC_Os02g32950	Rice Ensembl Gene
LOC_Os04g51000	Rice Ensembl Gene
LOC_Os03g10040	Rice Ensembl Gene
LOC_Os03g49990	Rice Ensembl Gene
LOC_Os08g44510	Rice Ensembl Gene
LOC_Os01g70730	Rice Ensembl Gene
LOC_Os06g30370	Rice Ensembl Gene
LOC_Os03g19480	Rice Ensembl Gene
LOC_Os11g05470	Rice Ensembl Gene
LOC_Os01g59660	Rice Ensembl Gene
LOC_Os03g54160	Rice Ensembl Gene
LOC_Os03g54084	Rice Ensembl Gene
LOC_Os03g55389	Rice Ensembl Gene
LOC_Os03g05680	Rice Ensembl Gene
LOC_Os01g67970	Rice Ensembl Gene
LOC_Os02g47660	Rice Ensembl Gene
LOC_Os04g38870	Rice Ensembl Gene
LOC_Os02g36974	Rice Ensembl Gene
LOC_Os08g33370	Rice Ensembl Gene
LOC_Os10g39130	Rice Ensembl Gene
LOC_OS02G45770.1	Rice Ensembl Gene
LOC_Os05g41210	Rice Ensembl Gene
LOC_Os01g59760	Rice Ensembl Gene
LOC_Os05g41070	Rice Ensembl Gene
LOC_Os01g64730 	Rice Ensembl Gene
LOC_Os01g64000	Rice Ensembl Gene
4325533	Entrez Gene
LOC_Os09g32948	Rice Ensembl Gene
LOC_Os06g10880	Rice Ensembl Gene
LOC_Os02g52780	Rice Ensembl Gene
LOC_Os09g28310	Rice Ensembl Gene
AT5G65050	TAIR
AT5G10140	TAIR
AT5G65060	TAIR
AT1G77080	TAIR
LOC_Os02g07430	Rice Ensembl Gene
LOC_Os04g52410	Rice Ensembl Gene
LOC_Os04g08034	Rice Ensembl Gene
LOC_Os09g13630	Rice Ensembl Gene
LOC_Os01g16414	Rice Ensembl Gene
LOC_Os09g21770	Rice Ensembl Gene
LOC_Os08g39890	Rice Ensembl Gene
LOC_Os03g22570	Rice Ensembl Gene
LOC_Os02g13310	Rice Ensembl Gene
LOC_Os09g04890	Rice Ensembl Gene
LOC_Os04g42020	Rice Ensembl Gene
LOC_Os08g44770	Rice Ensembl Gene
LOC_Os08g06070	Rice Ensembl Gene
LOC_Os07g29360	Rice Ensembl Gene
LOC_Os07g49320	Rice Ensembl Gene
LOC_Os07g32450	Rice Ensembl Gene
LOC_Os02g45250	Rice Ensembl Gene
LOC_Os01g49690	Rice Ensembl Gene
LOC_Os05g28980	Rice Ensembl Gene
LOC_Os08g08830	Rice Ensembl Gene
LOC_Os01g18290	Rice Ensembl Gene
LOC_Os12g41650	Rice Ensembl Gene
LOC_Os12g41650	Rice Ensembl Gene
LOC_Os05g02690	Rice Ensembl Gene
LOC_Os04g34976	Rice Ensembl Gene
LOC_Os03g25260	Rice Ensembl Gene
LOC_Os02g19140	Rice Ensembl Gene
LOC_Os07g38360	Rice Ensembl Gene
LOC_Os11g43890	Rice Ensembl Gene
LOC_Os12g38970	Rice Ensembl Gene
LOC_Os07g31280	Rice Ensembl Gene
LOC_Os05g04740	Rice Ensembl Gene
LOC_Os10g41520	Rice Ensembl Gene
LOC_Os02g45130	Rice Ensembl Gene
LOC_Os08g24946	Rice Ensembl Gene
LOC_Os01g01700	Rice Ensembl Gene
LOC_Os03g57290	Rice Ensembl Gene
B9FUS9	Uniprot-TrEMBL
LOC_Os04g56800	Rice Ensembl Gene
LOC_Os04g59460	Rice Ensembl Gene
LOC_Os05g51480	Rice Ensembl Gene
LOC_Os01g01484	Rice Ensembl Gene
LOC_Os03g46190	Rice Ensembl Gene
LOC_Os05g23670	Rice Ensembl Gene
LOC_Os05g10770	Rice Ensembl Gene
LOC_Os12g41900	Rice Ensembl Gene
LOC_Os02g36924	Rice Ensembl Gene
LOC_Os05g49780	Rice Ensembl Gene
LOC_Os03g29970	Rice Ensembl Gene
LOC_Os07g41580	Rice Ensembl Gene
LOC_Os01g70890	Rice Ensembl Gene
LOC_Os02g49370	Rice Ensembl Gene
LOC_Os05g38820	Rice Ensembl Gene
 LOC_Os02g49410	Rice Ensembl Gene
 LOC_Os06g17480	Rice Ensembl Gene
LOC_Os09g39490	Rice Ensembl Gene
LOC_Os08g29500	Rice Ensembl Gene
LOC_Os03g14669 	Rice Ensembl Gene
LOC_Os02g07450	Rice Ensembl Gene
LOC_Os06g45640	Rice Ensembl Gene
LOC_Os09g30310	Rice Ensembl Gene
LOC_Os03g63530	Rice Ensembl Gene
LOC_Os05g41450	Rice Ensembl Gene
LOC_Os01g08790	Rice Ensembl Gene
Gibberellic Acid	Wikipedia
LOC_Os02g53140	Rice Ensembl Gene
LOC_Os10g17770	Rice Ensembl Gene
LOC_Os02g04660	Rice Ensembl Gene
LOC_Os12g36194	Rice Ensembl Gene
LOC_Os02g47810	Rice Ensembl Gene
LOC_Os08g41950	Rice Ensembl Gene
LOC_Os06g06750	Rice Ensembl Gene
LOC_Os09g07500	Rice Ensembl Gene
LOC_Os10g42690	Rice Ensembl Gene
LOC_Os01g69850	Rice Ensembl Gene
LOC_Os01g10504	Rice Ensembl Gene
LOC_Os09g06464	Rice Ensembl Gene
LOC_Os03g11614	Rice Ensembl Gene
LOC_Os01g38530	Rice Ensembl Gene
LOC_Os10g32600	Rice Ensembl Gene
LOC_Os06g06300	Rice Ensembl Gene
