Identifier	Database
ENSMUSG00000021493	Ensembl
ENSMUSG00000031887	Ensembl
ENSMUSG00000031392	Ensembl
ENSMUSG00000026875	Ensembl
ENSMUSG00000020941	Ensembl
12675	Entrez Gene
ENSMUSG00000025225	Ensembl
ENSMUSG00000024927	Ensembl
ENSMUSG00000025225	Ensembl
ENSMUSG00000024927	Ensembl
ENSMUSG00000028284	Ensembl
ENSMUSG00000028284	Ensembl
ENSMUSG00000020700	Ensembl
ENSMUSG00000027164	Ensembl
ENSMUSG00000004221	Ensembl
ENSMUSG00000025199	Ensembl
ENSMUSG00000031537	Ensembl
15519	Entrez Gene
ENSMUSG00000063358	Ensembl
ENSMUSG00000024927	Ensembl
ENSMUSG00000028163	Ensembl
ENSMUSG00000021936	Ensembl
ENSMUSG00000028163	Ensembl
ENSMUSG00000024927	Ensembl
ENSMUSG00000024927	Ensembl
ENSMUSG00000028163	Ensembl
ENSMUSG00000048806	Ensembl
ENSMUSG00000026166	Ensembl
ENSMUSG00000024401	Ensembl
ENSMUSG00000035042	Ensembl
ENSMUSG00000028163	Ensembl
ENSMUSG00000024927	Ensembl
