Identifier	Database
432530	Entrez Gene
11514	Entrez Gene
14816	Entrez Gene
14810	Entrez Gene
14799	Entrez Gene
14800	Entrez Gene
53623	Entrez Gene
14802	Entrez Gene
14811	Entrez Gene
14812	Entrez Gene
14813	Entrez Gene
14814	Entrez Gene
108071	Entrez Gene
15966	ChEBI
29320	ChEBI
17489	ChEBI
18747	Entrez Gene
57321	Entrez Gene
387609	Entrez Gene
26395	Entrez Gene
26396	Entrez Gene
64652	Entrez Gene
67895	Entrez Gene
12323	Entrez Gene
18754	Entrez Gene
79264	Entrez Gene
13491	Entrez Gene
13489	Entrez Gene
13488	Entrez Gene
109550	Entrez Gene
432530	Entrez Gene
18747	Entrez Gene
26417	Entrez Gene
26413	Entrez Gene
11459	Entrez Gene
12912	Entrez Gene
12326	Entrez Gene
