Identifier	Database
13857	Entrez Gene
16452	Entrez Gene
20779	Entrez Gene
13857	Entrez Gene
20846	Entrez Gene
20416	Entrez Gene
14784	Entrez Gene
26395	Entrez Gene
26417	Entrez Gene
26413	Entrez Gene
26396	Entrez Gene
228026	Entrez Gene
11651	Entrez Gene
30955	Entrez Gene
13856	Entrez Gene
13856	Entrez Gene
12703	Entrez Gene
20851	Entrez Gene
12700	Entrez Gene
20850	Entrez Gene
20848	Entrez Gene
20848	Entrez Gene
20846	Entrez Gene
19264	Entrez Gene
19273	Entrez Gene
14784	Entrez Gene
110157	Entrez Gene
20662	Entrez Gene
384783	Entrez Gene
16452	Entrez Gene
16367	Entrez Gene
218397	Entrez Gene
110157	Entrez Gene
20662	Entrez Gene
218397	Entrez Gene
