Identifier	Database
ENSMUSG00000032315	Ensembl
ENSMUSG00000032310	Ensembl
ENSMUSG00000024087	Ensembl
ENSMUSG00000025479	Ensembl
ENSMUSG00000040181	Ensembl
ENSMUSG00000040170	Ensembl
ENSMUSG00000026691	Ensembl
ENSMUSG00000026692	Ensembl
ENSMUSG00000028088	Ensembl
ENSMUSG00000028692	Ensembl
ENSMUSG00000028743	Ensembl
ENSMUSG00000030711	Ensembl
ENSMUSG00000030711	Ensembl
ENSMUSG00000030711	Ensembl
ENSMUSG00000030711	Ensembl
ENSMUSG00000029269	Ensembl
ENSMUSG00000023122	Ensembl
69083	Entrez Gene
ENSMUSG00000029272	Ensembl
20859	Entrez Gene
ENSMUSG00000003271	Ensembl
ENSMUSG00000018865	Ensembl
ENSMUSG00000038045	Ensembl
394436	Entrez Gene
22236	Entrez Gene
394433	Entrez Gene
394433	Entrez Gene
ENSMUSG00000054545	Ensembl
394434	Entrez Gene
394430	Entrez Gene
ENSMUSG00000029268	Ensembl
552899	Entrez Gene
ENSMUSG00000035780	Ensembl
17961	Entrez Gene
ENSMUSG00000038776	Ensembl
14857	Entrez Gene
14862	Entrez Gene
ENSMUSG00000001663	Ensembl
ENSMUSG00000000326	Ensembl
CHEBI:30879	ChEBI
CHEBI:29256	ChEBI
CHEBI:50047	ChEBI
CHEBI:36586	ChEBI
CHEBI:25698	ChEBI
ENSMUSG00000032271	Ensembl
ENSMUSG00000026986	Ensembl
ENSMUSG00000003477	Ensembl
ENSMUSG00000021376	Ensembl
ENSMUSG00000032323	Ensembl
13072	Entrez Gene
ENSMUSG00000030670	Ensembl
110115	Entrez Gene
ENSMUSG00000052974	Ensembl
ENSMUSG00000040703	Ensembl
ENSMUSG00000027983	Ensembl
ENSMUSG00000029541	Ensembl
ENSMUSG00000028713	Ensembl
ENSMUSG00000003484	Ensembl
ENSMUSG00000061126	Ensembl
ENSMUSG00000079057	Ensembl
ENSMUSG00000047155	Ensembl
ENSMUSG00000021259	Ensembl
ENSMUSG00000028240	Ensembl
ENSMUSG00000039519	Ensembl
ENSMUSG00000050445	Ensembl
ENSMUSG00000003555	Ensembl
ENSMUSG00000032274	Ensembl
ENSMUSG00000049439	Ensembl
13079	Entrez Gene
ENSMUSG00000038567	Ensembl
ENSMUSG00000024987	Ensembl
ENSMUSG00000063415	Ensembl
ENSMUSG00000062432	Ensembl
ENSMUSG00000026170	Ensembl
ENSMUSG00000006724	Ensembl
ENSMUSG00000023963	Ensembl
ENSMUSG00000001467	Ensembl
ENSMUSG00000022040	Ensembl
ENSMUSG00000038641	Ensembl
ENSMUSG00000001642	Ensembl
ENSMUSG00000027827	Ensembl
67861	Entrez Gene
ENSMUSG00000028931	Ensembl
ENSMUSG00000018470	Ensembl
ENSMUSG00000063856	Ensembl
ENSMUSG00000042808	Ensembl
ENSMUSG00000018339	Ensembl
ENSMUSG00000075706	Ensembl
ENSMUSG00000004344	Ensembl
14858	Entrez Gene
ENSMUSG00000028018	Ensembl
14859	Entrez Gene
14860	Entrez Gene
ENSMUSG00000029864	Ensembl
ENSMUSG00000004035	Ensembl
ENSMUSG00000004032	Ensembl
14865	Entrez Gene
14866	Entrez Gene
ENSMUSG00000025068	Ensembl
ENSMUSG00000025069	Ensembl
14870	Entrez Gene
ENSMUSG00000033318	Ensembl
ENSMUSG00000033318	Ensembl
ENSMUSG00000021033	Ensembl
ENSMUSG00000008540	Ensembl
ENSMUSG00000074604	Ensembl
ENSMUSG00000026688	Ensembl
ENSMUSG00000031584	Ensembl
ENSMUSG00000027610	Ensembl
ENSMUSG00000079334	Ensembl
ENSMUSG00000002728	Ensembl
68396	Entrez Gene
ENSMUSG00000015542	Ensembl
ENSMUSG00000027185	Ensembl
ENSMUSG00000048142	Ensembl
ENSMUSG00000024764	Ensembl
ENSMUSG00000036282	Ensembl
ENSMUSG00000022698	Ensembl
ENSMUSG00000035285	Ensembl
ENSMUSG00000027221	Ensembl
ENSMUSG00000033350	Ensembl
ENSMUSG00000057337	Ensembl
ENSMUSG00000035930	Ensembl
ENSMUSG00000031952	Ensembl
ENSMUSG00000031952	Ensembl
ENSMUSG00000037347	Ensembl
ENSMUSG00000060402	Ensembl
71367	Entrez Gene
ENSMUSG00000026080	Ensembl
ENSMUSG00000034612	Ensembl
ENSMUSG00000036599	Ensembl
ENSMUSG00000056643	Ensembl
72136	Entrez Gene
ENSMUSG00000049721	Ensembl
381334	Entrez Gene
ENSMUSG00000047658	Ensembl
ENSMUSG00000075593	Ensembl
ENSMUSG00000040151	Ensembl
ENSMUSG00000051022	Ensembl
ENSMUSG00000046321	Ensembl
15478	Entrez Gene
54710	Entrez Gene
ENSMUSG00000078591	Ensembl
ENSMUSG00000044499	Ensembl
ENSMUSG00000039628	Ensembl
ENSMUSG00000045216	Ensembl
ENSMUSG00000062184	Ensembl
ENSMUSG00000053465	Ensembl
ENSMUSG00000054008	Ensembl
ENSMUSG00000039308	Ensembl
ENSMUSG00000027977	Ensembl
ENSMUSG00000027971	Ensembl
ENSMUSG00000039653	Ensembl
ENSMUSG00000063683	Ensembl
