Identifier	Database
20778	Entrez Gene
235033	Entrez Gene
19411	Entrez Gene
19378	Entrez Gene
237636	Entrez Gene
20181	Entrez Gene
63954	Entrez Gene
27409	Entrez Gene
12491	Entrez Gene
98711	Entrez Gene
19660	Entrez Gene
11668	Entrez Gene
26876	Entrez Gene
77974	Entrez Gene
20183	Entrez Gene
16956	Entrez Gene
67470	Entrez Gene
Q99NF1	Uniprot-TrEMBL
20182	Entrez Gene
11522	Entrez Gene
12903	Entrez Gene
79235	Entrez Gene
79235	Entrez Gene
56847	Entrez Gene
20887	Entrez Gene
12904	Entrez Gene
13106	Entrez Gene
20148	Entrez Gene
19401	Entrez Gene
20778	Entrez Gene
19659	Entrez Gene
232174	Entrez Gene
19662	Entrez Gene
13082	Entrez Gene
63857	Entrez Gene
19682	Entrez Gene
11668	Entrez Gene
19771	Entrez Gene
19892	Entrez Gene
77974	Entrez Gene
19378	Entrez Gene
218772	Entrez Gene
19682	Entrez Gene
54200	Entrez Gene
56847	Entrez Gene
63857	Entrez Gene
67442	Entrez Gene
HMDB03993	HMDB
HMDB02204	HMDB
HMDB03101	HMDB
HMDB02789	HMDB
HMDB02268	HMDB
HMDB02268	HMDB
HMDB03154	HMDB
HMDB03233	HMDB
HMDB00876	HMDB
HMDB03000	HMDB
63857	Entrez Gene
