Identifier	Database
109079	Entrez Gene
20768	Entrez Gene
20683	Entrez Gene
20687	Entrez Gene
18986	Entrez Gene
12916	Entrez Gene
75420	Entrez Gene
65967	Entrez Gene
20226	Entrez Gene
71984	Entrez Gene
214580	Entrez Gene
19946	Entrez Gene
65967	Entrez Gene
75420	Entrez Gene
14775	Entrez Gene
14776	Entrez Gene
625249	Entrez Gene
13370	Entrez Gene
20363	Entrez Gene
50493	Entrez Gene
20364	Entrez Gene
20768	Entrez Gene
9403	Entrez Gene
13371	Entrez Gene
107585	Entrez Gene
14778	Entrez Gene
72657	Entrez Gene
28042	Entrez Gene
80795	Entrez Gene
114679	Entrez Gene
74777	Entrez Gene
223776	Entrez Gene
27361	Entrez Gene
109815	Entrez Gene
69227	Entrez Gene
26462	Entrez Gene
232223	Entrez Gene
280621	Entrez Gene
71787	Entrez Gene
211006	Entrez Gene
50493	Entrez Gene
232223	Entrez Gene
26462	Entrez Gene
20341	Entrez Gene
14080	Entrez Gene
20342	Entrez Gene
75420	Entrez Gene
50880	Entrez Gene
75512	Entrez Gene
NM_145953	RefSeq
18024	Entrez Gene
16476	Entrez Gene
14281	Entrez Gene
18033	Entrez Gene
19697	Entrez Gene
