Identifier	Database
53831	Entrez Gene
51289	Entrez Gene
9288	Entrez Gene
9287	Entrez Gene
27202	Entrez Gene
9290	Entrez Gene
84539	Entrez Gene
54112	Entrez Gene
118442	Entrez Gene
64582	Entrez Gene
11245	Entrez Gene
9038	Entrez Gene
57191	Entrez Gene
59340	Entrez Gene
1234	Entrez Gene
26648	Entrez Gene
1951	Entrez Gene
2798	Entrez Gene
P47886	Uniprot-TrEMBL
P47889	Uniprot-TrEMBL
P47892	Uniprot-TrEMBL
26492	Entrez Gene
26494	Entrez Gene
2492	Entrez Gene
2149	Entrez Gene
135	Entrez Gene
1901	Entrez Gene
144124	Entrez Gene
4923	Entrez Gene
59352	Entrez Gene
Q9NZP0	Uniprot-TrEMBL
Q9NZP2	Uniprot-TrEMBL
Q9NZP3	Uniprot-TrEMBL
Q9NZP4	Uniprot-TrEMBL
Q9NZP5	Uniprot-TrEMBL
3355	Entrez Gene
3356	Entrez Gene
3579	Entrez Gene
3577	Entrez Gene
Q9UDD7	Uniprot-TrEMBL
Q9UDD8	Uniprot-TrEMBL
Q9UEB1	Uniprot-TrEMBL
341276	Entrez Gene
2837	Entrez Gene
4935	Entrez Gene
56413	Entrez Gene
83873	Entrez Gene
9289	Entrez Gene
221395	Entrez Gene
53829	Entrez Gene
29933	Entrez Gene
128674	Entrez Gene
283383	Entrez Gene
2841	Entrez Gene
144124	Entrez Gene
1231	Entrez Gene
146	Entrez Gene
140	Entrez Gene
154	Entrez Gene
390885	Entrez Gene
26651	Entrez Gene
391632	Entrez Gene
3363	Entrez Gene
59350	Entrez Gene
26245	Entrez Gene
O43884	Uniprot-TrEMBL
8594	Entrez Gene
26343	Entrez Gene
390756	Entrez Gene
401428	Entrez Gene
26212	Entrez Gene
4992	Entrez Gene
441295	Entrez Gene
138883	Entrez Gene
8387	Entrez Gene
8390	Entrez Gene
8389	Entrez Gene
9596	Entrez Gene
26211	Entrez Gene
4994	Entrez Gene
168188	Entrez Gene
393046	Entrez Gene
O95220	Uniprot-TrEMBL
8392	Entrez Gene
2840	Entrez Gene
1952	Entrez Gene
9620	Entrez Gene
O60411	Uniprot-TrEMBL
26537	Entrez Gene
2918	Entrez Gene
79541	Entrez Gene
Q9BYT4	Uniprot-TrEMBL
Q9H2C7	Uniprot-TrEMBL
2925	Entrez Gene
81370	Entrez Gene
CNR1	Entrez Gene
1131	Entrez Gene
1129	Entrez Gene
887	Entrez Gene
2833	Entrez Gene
2692	Entrez Gene
27239	Entrez Gene
10888	Entrez Gene
2911	Entrez Gene
1814	Entrez Gene
1815	Entrez Gene
30817	Entrez Gene
1880	Entrez Gene
1909	Entrez Gene
84658	Entrez Gene
2532	Entrez Gene
29929	Entrez Gene
5032	Entrez Gene
84059	Entrez Gene
23284	Entrez Gene
23266	Entrez Gene
5737	Entrez Gene
6752	Entrez Gene
6608	Entrez Gene
