Identifier	Database
6777	Entrez Gene
6776	Entrez Gene
6198	Entrez Gene
5595	Entrez Gene
207	Entrez Gene
3845	Entrez Gene
3716	Entrez Gene
3717	Entrez Gene
4067	Entrez Gene
5781	Entrez Gene
5295	Entrez Gene
5296	Entrez Gene
5294	Entrez Gene
2002	Entrez Gene
695	Entrez Gene
6195	Entrez Gene
2931	Entrez Gene
2932	Entrez Gene
161742	Entrez Gene
5605	Entrez Gene
6464	Entrez Gene
3558	Entrez Gene
3558	Entrez Gene
6777	Entrez Gene
6194	Entrez Gene
3725	Entrez Gene
596	Entrez Gene
2353	Entrez Gene
3725	Entrez Gene
4137	Entrez Gene
6654	Entrez Gene
5894	Entrez Gene
5604	Entrez Gene
3568	Entrez Gene
1439	Entrez Gene
1439	Entrez Gene
3568	Entrez Gene
6774	Entrez Gene
5594	Entrez Gene
2309	Entrez Gene
6772	Entrez Gene
2885	Entrez Gene
6199	Entrez Gene
6776	Entrez Gene
6850	Entrez Gene
2353	Entrez Gene
4609	Entrez Gene
