Identifier	Database
1967	Entrez Gene
8892	Entrez Gene
8891	Entrez Gene
8890	Entrez Gene
8893	Entrez Gene
9451	Entrez Gene
5610	Entrez Gene
8669	Entrez Gene
8668	Entrez Gene
8667	Entrez Gene
8666	Entrez Gene
8665	Entrez Gene
3646	Entrez Gene
8664	Entrez Gene
8663	Entrez Gene
1973	Entrez Gene
1974	Entrez Gene
1975	Entrez Gene
7458	Entrez Gene
1977	Entrez Gene
10209	Entrez Gene
10209	Entrez Gene
10605	Entrez Gene
1978	Entrez Gene
1979	Entrez Gene
8637	Entrez Gene
1917	Entrez Gene
1933	Entrez Gene
1936	Entrez Gene
1937	Entrez Gene
1938	Entrez Gene
2107	Entrez Gene
23708	Entrez Gene
26986	Entrez Gene
1981	Entrez Gene
8672	Entrez Gene
1965	Entrez Gene
8894	Entrez Gene
1968	Entrez Gene
9669	Entrez Gene
9086	Entrez Gene
1964	Entrez Gene
23277	Entrez Gene
8661	Entrez Gene
8662	Entrez Gene
27102	Entrez Gene
1983	Entrez Gene
1984	Entrez Gene
29904	Entrez Gene
3692	Entrez Gene
1915	Entrez Gene
