Identifier	Database
WP143	WikiPathways
5091	Entrez Gene
2.3.1.7	Enzyme Nomenclature
2.6.1.18	Enzyme Nomenclature
18	Entrez Gene
6.3.2.11	Enzyme Nomenclature
3.4.13.3	Enzyme Nomenclature
4.1.1.11	Enzyme Nomenclature
4.1.1.12	Enzyme Nomenclature
2572	Entrez Gene
2.6.1.12	Enzyme Nomenclature
1615	Entrez Gene
2875	Entrez Gene
189	Entrez Gene
6.1.1.7	Enzyme Nomenclature
5.1.1.1	Enzyme Nomenclature
6.3.4.4	Enzyme Nomenclature
445	Entrez Gene
3.5.1.1	Enzyme Nomenclature
3.5.1.38	Enzyme Nomenclature
6.3.1.1	Enzyme Nomenclature
6.3.5.4	Enzyme Nomenclature
4.3.1.1	Enzyme Nomenclature
435	Entrez Gene
4.3.2.2	Enzyme Nomenclature
2.6.1.14	Enzyme Nomenclature
3.5.1.3	Enzyme Nomenclature
1.4.3.2	Enzyme Nomenclature
1.4.3.16	Enzyme Nomenclature
1.2.1.18	Enzyme Nomenclature
2.1.3.2	Enzyme Nomenclature
2806	Entrez Gene
6.3.5.6	Enzyme Nomenclature
1615	Entrez Gene
6.1.1.22	Enzyme Nomenclature
1.4.3.1	Enzyme Nomenclature
1.4.3.15	Enzyme Nomenclature
3.5.1.7	Enzyme Nomenclature
5.1.1.13	Enzyme Nomenclature
443	Entrez Gene
2571	Entrez Gene
2805	Entrez Gene
3040-38-8	CAS
72-89-9	CAS
305-84-0	CAS
338-69-2	CAS
70-47-3	CAS
617-48-1	CAS
6912-68-1	CAS
6912-68-1	CAS
WP534	WikiPathways
C00026	KEGG Compound
C00042	KEGG Compound
C00122	KEGG Compound
C00036	KEGG Compound
HMDB00094	HMDB
15859	ChEBI
C00402	KEGG Compound
33190	ChEBI
C00049	KEGG Compound
WP497	WikiPathways
70-47-3	CAS
CHEBI:15682	ChEBI
C00049	KEGG Compound
70-47-3	CAS
32816	ChEBI
