Identifier	Database
5747	Entrez Gene
367	Entrez Gene
5296	Entrez Gene
5879	Entrez Gene
998	Entrez Gene
387	Entrez Gene
388	Entrez Gene
6093	Entrez Gene
9475	Entrez Gene
3985	Entrez Gene
11034	Entrez Gene
9611	Entrez Gene
9612	Entrez Gene
29893	Entrez Gene
11143	Entrez Gene
5883	Entrez Gene
56924	Entrez Gene
23598	Entrez Gene
5970	Entrez Gene
4089	Entrez Gene
8202	Entrez Gene
7182	Entrez Gene
367	Entrez Gene
8554	Entrez Gene
4088	Entrez Gene
166	Entrez Gene
10401	Entrez Gene
6774	Entrez Gene
6667	Entrez Gene
1026	Entrez Gene
3065	Entrez Gene
4193	Entrez Gene
573	Entrez Gene
10273	Entrez Gene
860	Entrez Gene
5925	Entrez Gene
1616	Entrez Gene
1956	Entrez Gene
5052	Entrez Gene
57178	Entrez Gene
7341	Entrez Gene
6605	Entrez Gene
23028	Entrez Gene
24149	Entrez Gene
2288	Entrez Gene
1385	Entrez Gene
23411	Entrez Gene
7337	Entrez Gene
11315	Entrez Gene
64800	Entrez Gene
10498	Entrez Gene
2308	Entrez Gene
8850	Entrez Gene
354	Entrez Gene
6049	Entrez Gene
8611	Entrez Gene
6013	Entrez Gene
90427	Entrez Gene
25942	Entrez Gene
2119	Entrez Gene
8431	Entrez Gene
857	Entrez Gene
6714	Entrez Gene
8648	Entrez Gene
5901	Entrez Gene
9604	Entrez Gene
51588	Entrez Gene
2316	Entrez Gene
2033	Entrez Gene
1499	Entrez Gene
10399	Entrez Gene
811	Entrez Gene
5295	Entrez Gene
207	Entrez Gene
5728	Entrez Gene
367	Entrez Gene
7329	Entrez Gene
9063	Entrez Gene
367	Entrez Gene
672	Entrez Gene
595	Entrez Gene
2274	Entrez Gene
1387	Entrez Gene
8031	Entrez Gene
3725	Entrez Gene
10499	Entrez Gene
2932	Entrez Gene
7041	Entrez Gene
367	Entrez Gene
367	Entrez Gene
10524	Entrez Gene
898	Entrez Gene
6047	Entrez Gene
