Identifier	Database
4536	Entrez Gene
4537	Entrez Gene
4538	Entrez Gene
4540	Entrez Gene
4541	Entrez Gene
4539	Entrez Gene
4513	Entrez Gene
4514	Entrez Gene
1327	Entrez Gene
9377	Entrez Gene
1329	Entrez Gene
1339	Entrez Gene
1340	Entrez Gene
1349	Entrez Gene
1350	Entrez Gene
1351	Entrez Gene
7351	Entrez Gene
7352	Entrez Gene
292	Entrez Gene
293	Entrez Gene
6390	Entrez Gene
4706	Entrez Gene
4709	Entrez Gene
4700	Entrez Gene
4710	Entrez Gene
4712	Entrez Gene
4713	Entrez Gene
4715	Entrez Gene
4695	Entrez Gene
4696	Entrez Gene
4714	Entrez Gene
4716	Entrez Gene
4717	Entrez Gene
4707	Entrez Gene
4725	Entrez Gene
4711	Entrez Gene
4535	Entrez Gene
4698	Entrez Gene
374291	Entrez Gene
4726	Entrez Gene
4702	Entrez Gene
4724	Entrez Gene
6391	Entrez Gene
6392	Entrez Gene
4519	Entrez Gene
7384	Entrez Gene
7385	Entrez Gene
7381	Entrez Gene
7388	Entrez Gene
7386	Entrez Gene
27089	Entrez Gene
29796	Entrez Gene
10975	Entrez Gene
4512	Entrez Gene
1346	Entrez Gene
9167	Entrez Gene
O60397	Uniprot-TrEMBL
1347	Entrez Gene
1345	Entrez Gene
10063	Entrez Gene
1353	Entrez Gene
6341	Entrez Gene
6834	Entrez Gene
1355	Entrez Gene
516	Entrez Gene
517	Entrez Gene
518	Entrez Gene
4508	Entrez Gene
498	Entrez Gene
506	Entrez Gene
513	Entrez Gene
514	Entrez Gene
515	Entrez Gene
509	Entrez Gene
521	Entrez Gene
9551	Entrez Gene
10632	Entrez Gene
539	Entrez Gene
10476	Entrez Gene
27109	Entrez Gene
522	Entrez Gene
4509	Entrez Gene
7350	Entrez Gene
9481	Entrez Gene
9016	Entrez Gene
93974	Entrez Gene
4728	Entrez Gene
4729	Entrez Gene
4704	Entrez Gene
4705	Entrez Gene
4720	Entrez Gene
4723	Entrez Gene
4719	Entrez Gene
4708	Entrez Gene
4697	Entrez Gene
55967	Entrez Gene
4701	Entrez Gene
4718	Entrez Gene
1337	Entrez Gene
6389	Entrez Gene
4694	Entrez Gene
4731	Entrez Gene
291	Entrez Gene
4722	Entrez Gene
HMDB02012	HMDB
HMDB01377	HMDB
HMDB02111	HMDB
C00524	KEGG Compound
C00004	KEGG Compound
C00042	KEGG Compound
C05359	KEGG Compound
C00002	KEGG Compound
HMDB01362	HMDB
C00003	KEGG Compound
C00016	KEGG Compound
C01352	KEGG Compound
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
HMDB01362	HMDB
C05359	KEGG Compound
C05359	KEGG Compound
WP78	WikiPathways
