Identifier	Database
4313	Entrez Gene
4318	Entrez Gene
4316	Entrez Gene
4321	Entrez Gene
9313	Entrez Gene
4319	Entrez Gene
4314	Entrez Gene
4320	Entrez Gene
4327	Entrez Gene
4323	Entrez Gene
4324	Entrez Gene
4325	Entrez Gene
4326	Entrez Gene
10893	Entrez Gene
7077	Entrez Gene
7078	Entrez Gene
7079	Entrez Gene
682	Entrez Gene
7124	Entrez Gene
56547	Entrez Gene
79148	Entrez Gene
ENSG00000215914	Ensembl
64386	Entrez Gene
64066	Entrez Gene
6942	Entrez Gene
118856	Entrez Gene
4312	Entrez Gene
4317	Entrez Gene
4322	Entrez Gene
7076	Entrez Gene
8510	Entrez Gene
