Identifier	Database
1279331	Entrez Gene
1270634	Entrez Gene
1276470	Entrez Gene
1274215	Entrez Gene
1272927	Entrez Gene
1278225	Entrez Gene
1279676	Entrez Gene
1280931	Entrez Gene
1282028	Entrez Gene
1281716	Entrez Gene
1276707	Entrez Gene
1273492	Entrez Gene
1281768	Entrez Gene
1273663	Entrez Gene
1281215	Entrez Gene
1281310	Entrez Gene
1276663	Entrez Gene
1275723	Entrez Gene
1269649	Entrez Gene
1274564	Entrez Gene
1274727	Entrez Gene
1279638	Entrez Gene
3291409	Entrez Gene
1276124	Entrez Gene
1281371	Entrez Gene
1271236	Entrez Gene
1273216	Entrez Gene
1270447	Entrez Gene
1279582	Entrez Gene
1278028	Entrez Gene
1281216	Entrez Gene
1274744	Entrez Gene
1277655	Entrez Gene
1278269	Entrez Gene
1275318	Entrez Gene
1281578	Entrez Gene
1276616	Entrez Gene
1279424	Entrez Gene
1281904	Entrez Gene
1274189	Entrez Gene
1270207	Entrez Gene
1273045	Entrez Gene
1275319	Entrez Gene
1272330	Entrez Gene
1275106	Entrez Gene
1271018	Entrez Gene
1269220	Entrez Gene
1274609	Entrez Gene
1280575	Entrez Gene
1269957	Entrez Gene
1272785	Entrez Gene
1274256	Entrez Gene
1272910	Entrez Gene
1270757	Entrez Gene
1279989	Entrez Gene
1269844	Entrez Gene
1271556	Entrez Gene
1271501	Entrez Gene
1272669	Entrez Gene
