Identifier	Database
ENSSSCG00000015007	Ensembl
ENSSSCG00000014280	Ensembl
ENSSSCG00000017822	Ensembl
ENSSSCG00000014955	Ensembl
ENSSSCG00000006127	Ensembl
ENSSSCG00000017822	Ensembl
ENSSSCG00000017822	Ensembl
ENSSSCG00000015007	Ensembl
ENSSSCG00000009340	Ensembl
ENSSSCG00000009340	Ensembl
ENSSSCG00000009340	Ensembl
ENSSSCG00000017822	Ensembl
ENSSSCG00000000754	Ensembl
ENSSSCG00000000754	Ensembl
ENSSSCG00000003216	Ensembl
ENSSSCG00000009340	Ensembl
ENSSSCG00000000754	Ensembl
ENSSSCG00000016753	Ensembl
ENSSSCG00000014842	Ensembl
ENSSSCG00000012916	Ensembl
