Identifier	Database
18367	ChEBI
15422	ChEBI
16108	ChEBI
18367	ChEBI
16474	ChEBI
16332	ChEBI
17050	ChEBI
29052	ChEBI
16761	ChEBI
16761	ChEBI
16710	ChEBI
16710	ChEBI
16474	ChEBI
17544	ChEBI
30744	ChEBI
16761	ChEBI
3.1.3.11	Enzyme Nomenclature
16526	ChEBI
5.3.1.1	Enzyme Nomenclature
18367	ChEBI
15595	ChEBI
18367	ChEBI
18367	ChEBI
18367	ChEBI
18367	ChEBI
18367	ChEBI
18367	ChEBI
5.3.1.1	Enzyme Nomenclature
15378	ChEBI
17969	ChEBI
1.1.1.40	Enzyme Nomenclature
18367	ChEBI
15361	ChEBI
15377	ChEBI
18009	ChEBI
2.6.1.1	Enzyme Nomenclature
4.1.1.49	Enzyme Nomenclature
5.3.1.6	Enzyme Nomenclature
2.6.1.1	Enzyme Nomenclature
16526	ChEBI
16526	ChEBI
16526	ChEBI
16526	ChEBI
15595	ChEBI
16474	ChEBI
16108	ChEBI
18367	ChEBI
2.7.2.3	Enzyme Nomenclature
18009	ChEBI
2.2.1.1	Enzyme Nomenclature
15422	ChEBI
15422	ChEBI
15422	ChEBI
16526	ChEBI
2.7.9.1	Enzyme Nomenclature
2.7.9.1	Enzyme Nomenclature
17050	ChEBI
4.2.1.1	Enzyme Nomenclature
18367	ChEBI
15946	ChEBI
16761	ChEBI
16761	ChEBI
16761	ChEBI
1981-49-3	CAS
18367	ChEBI
18367	ChEBI
4.1.1.39	Enzyme Nomenclature
4.1.1.39	Enzyme Nomenclature
4.1.1.39	Enzyme Nomenclature
30744	ChEBI
30744	ChEBI
30744	ChEBI
29993	ChEBI
29988	ChEBI
30915	ChEBI
29993	ChEBI
29988	ChEBI
29993	ChEBI
30915	ChEBI
18420	ChEBI
15378	ChEBI
18420	ChEBI
4.1.1.31	Enzyme Nomenclature
15422	ChEBI
29052	ChEBI
15378	ChEBI
3.1.3.37	Enzyme Nomenclature
16027	ChEBI
16027	ChEBI
4.1.2.	Enzyme Nomenclature
1.2.1.59	Enzyme Nomenclature
16108	ChEBI
18021	ChEBI
15422	ChEBI
16988	ChEBI
4.1.2.13	Enzyme Nomenclature
15595	ChEBI
18009	ChEBI
15361	ChEBI
15377	ChEBI
16108	ChEBI
29052	ChEBI
18367	ChEBI
1.1.1.82	Enzyme Nomenclature
5.1.3.1	Enzyme Nomenclature
17050	ChEBI
15361	ChEBI
15378	ChEBI
15721	ChEBI
15361	ChEBI
2.7.2.3	Enzyme Nomenclature
18021	ChEBI
18021	ChEBI
15595	ChEBI
16897	ChEBI
29888	ChEBI
29888	ChEBI
16905	ChEBI
1.2.1.59	Enzyme Nomenclature
17363	ChEBI
2.7.1.19	Enzyme Nomenclature
17050	ChEBI
1981-49-3	CAS
GRMZM2G414528	Gramene Maize
GRMZM2G121878	Gramene Maize
GRMZM2G094165	Gramene Maize
GRMZM2G348512	Gramene Maize
GRMZM2G109708	Gramene Maize
GRMZM2G359038	Gramene Maize
15422	ChEBI
15422	ChEBI
16761	ChEBI
16761	ChEBI
GRMZM2G174107	Gramene Maize
GRMZM2G127591	Gramene Maize
GRMZM2G305851	Gramene Maize
GRMZM2G129513	Gramene Maize
GRMZM2G469150	Gramene Maize
GRMZM2G002807	Gramene Maize
GRMZM2G007263	Gramene Maize
GRMZM2G092678	Gramene Maize
GRMZM2G083016	Gramene Maize
GRMZM2G011507	Gramene Maize
GRMZM2G097457	Gramene Maize
GRMZM2G092678	Gramene Maize
GRMZM2G013900	Gramene Maize
GRMZM2G001696	Gramene Maize
GRMZM2G146677	Gramene Maize
GRMZM2G071423	Gramene Maize
GRMZM2G138258	Gramene Maize
GRMZM2G077222	Gramene Maize
GRMZM2G162282	Gramene Maize
GRMZM2G162200	Gramene Maize
GRMZM2G039345	Gramene Maize
GRMZM2G113033	Gramene Maize
GRMZM2G098520	Gramene Maize
GRMZM2G085019	Gramene Maize
GRMZM2G122479	Gramene Maize
GRMZM2G051630	Gramene Maize
GRMZM2G134544	Gramene Maize
GRMZM2G042146	Gramene Maize
GRMZM2G030784	Gramene Maize
GRMZM2G018177	Gramene Maize
GRMZM2G337113	Gramene Maize
GRMZM2G039723	Gramene Maize
GRMZM2G155253	Gramene Maize
GRMZM2G046284	Gramene Maize
GRMZM2G083016	Gramene Maize
GRMZM2G066413	Gramene Maize
GRMZM2G104070	Gramene Maize
GRMZM2G166424	Gramene Maize
GRMZM2G026807	Gramene Maize
GRMZM2G178960	Gramene Maize
GRMZM2G026024	Gramene Maize
GRMZM2G162529	Gramene Maize
GRMZM2G033208	Gramene Maize
GRMZM2G306732	Gramene Maize
GRMZM2G095287	Gramene Maize
AC147602.5_FG003	Gramene Maize
GRMZM2G083841	Gramene Maize
