Identifier	Database
ENSPTRG00000018379	Ensembl
HMDB00285	HMDB
HMDB01487	HMDB
HMDB00902	HMDB
ENSPTRG00000015979	Ensembl
HMDB01586	HMDB
ENSPTRG00000000820	Ensembl
HMDB00935	HMDB
ENSPTRG00000020999	Ensembl
HMDB00295	HMDB
HMDB02111	HMDB
HMDB01401	HMDB
HMDB00061	HMDB
HMDB01362	HMDB
HMDB00538	HMDB
HMDB00122	HMDB
HMDB00286	HMDB
ENSPTRG00000015996	Ensembl
ENSPTRG00000011976	Ensembl
ENSPTRG00000002572	Ensembl
HMDB01429	HMDB
HMDB01429	HMDB
743607	Entrez Gene
471220	Entrez Gene
739942	Entrez Gene
461289	Entrez Gene
461285	Entrez Gene
461287	Entrez Gene
742890	Entrez Gene
449596	Entrez Gene
741990	Entrez Gene
471219	Entrez Gene
471218	Entrez Gene
ENSPTRG00000016110	Ensembl
740070	Entrez Gene
