Identifier	Database
743963	Entrez Gene
743963	Entrez Gene
737582	Entrez Gene
458802	Entrez Gene
457351	Entrez Gene
748225	Entrez Gene
458802	Entrez Gene
455718	Entrez Gene
458680	Entrez Gene
454037	Entrez Gene
450161	Entrez Gene
467426	Entrez Gene
464073	Entrez Gene
463649	Entrez Gene
456390	Entrez Gene
461836	Entrez Gene
455855	Entrez Gene
748032	Entrez Gene
461406	Entrez Gene
462336	Entrez Gene
737245	Entrez Gene
472771	Entrez Gene
455028	Entrez Gene
470146	Entrez Gene
460182	Entrez Gene
473387	Entrez Gene
464586	Entrez Gene
464192	Entrez Gene
471866	Entrez Gene
737070	Entrez Gene
472830	Entrez Gene
458163	Entrez Gene
740898	Entrez Gene
461406	Entrez Gene
456071	Entrez Gene
469617	Entrez Gene
455647	Entrez Gene
460623	Entrez Gene
451690	Entrez Gene
741557	Entrez Gene
456893	Entrez Gene
465759	Entrez Gene
470896	Entrez Gene
470203	Entrez Gene
454681	Entrez Gene
454679	Entrez Gene
470146	Entrez Gene
450428	Entrez Gene
450428	Entrez Gene
747093	Entrez Gene
747093	Entrez Gene
737582	Entrez Gene
458802	Entrez Gene
450183	Entrez Gene
450183	Entrez Gene
466302	Entrez Gene
462689	Entrez Gene
466947	Entrez Gene
464812	Entrez Gene
452520	Entrez Gene
450196	Entrez Gene
494138	Entrez Gene
458607	Entrez Gene
454069	Entrez Gene
462656	Entrez Gene
743373	Entrez Gene
464979	Entrez Gene
454682	Entrez Gene
459834	Entrez Gene
454679	Entrez Gene
454681	Entrez Gene
