Identifier	Database
454814	Entrez Gene
452243	Entrez Gene
452801	Entrez Gene
455074	Entrez Gene
453307	Entrez Gene
469636	Entrez Gene
457618	Entrez Gene
458000	Entrez Gene
465557	Entrez Gene
493952	Entrez Gene
465078	Entrez Gene
466317	Entrez Gene
735514	Entrez Gene
746369	Entrez Gene
741787	Entrez Gene
459915	Entrez Gene
469156	Entrez Gene
464599	Entrez Gene
455315	Entrez Gene
454633	Entrez Gene
459784	Entrez Gene
470657	Entrez Gene
465115	Entrez Gene
451168	Entrez Gene
452173	Entrez Gene
466148	Entrez Gene
746570	Entrez Gene
458216	Entrez Gene
459659	Entrez Gene
