Identifier	Database
467184	Entrez Gene
453042	Entrez Gene
456543	Entrez Gene
459099	Entrez Gene
460881	Entrez Gene
459388	Entrez Gene
459155	Entrez Gene
467798	Entrez Gene
464344	Entrez Gene
745388	Entrez Gene
451007	Entrez Gene
458797	Entrez Gene
748995	Entrez Gene
460917	Entrez Gene
737509	Entrez Gene
472414	Entrez Gene
468435	Entrez Gene
454665	Entrez Gene
454665	Entrez Gene
464114	Entrez Gene
739210	Entrez Gene
736151	Entrez Gene
464444	Entrez Gene
736784	Entrez Gene
462098	Entrez Gene
742431	Entrez Gene
464318	Entrez Gene
460888	Entrez Gene
469204	Entrez Gene
452980	Entrez Gene
458188	Entrez Gene
738402	Entrez Gene
459443	Entrez Gene
449499	Entrez Gene
466216	Entrez Gene
463255	Entrez Gene
453183	Entrez Gene
750603	Entrez Gene
454350	Entrez Gene
458200	Entrez Gene
494136	Entrez Gene
