Identifier	Database
1278659	Entrez Gene
1273131	Entrez Gene
1279199	Entrez Gene
1281753	Entrez Gene
1279701	Entrez Gene
1271848	Entrez Gene
1275382	Entrez Gene
1270240	Entrez Gene
1273131	Entrez Gene
1273131	Entrez Gene
1272312	Entrez Gene
1272386	Entrez Gene
25513-46-6	CAS
59-30-3	CAS
135-16-0	CAS
4033-27-6	CAS
25513-46-6	CAS
134-35-0	CAS
2800-34-2	CAS
7444-29-3	CAS
63-68-3	CAS
107-43-7	CAS
29908-03-0	CAS
979-92-0	CAS
6027-13-0	CAS
1282039	Entrez Gene
1275382	Entrez Gene
1282039	Entrez Gene
1272582	Entrez Gene
1279199	Entrez Gene
1279701	Entrez Gene
1279701	Entrez Gene
597	Chemspider
730	Chemspider
315142	Chemspider
