Identifier	Database
3291445	Entrez Gene
1272120	Entrez Gene
1272379	Entrez Gene
1281769	Entrez Gene
1281429	Entrez Gene
1273478	Entrez Gene
1280037	Entrez Gene
1276242	Entrez Gene
1269903	Entrez Gene
1270756	Entrez Gene
1271616	Entrez Gene
1272945	Entrez Gene
1279677	Entrez Gene
1281126	Entrez Gene
1275817	Entrez Gene
1281150	Entrez Gene
1275771	Entrez Gene
1281478	Entrez Gene
1280236	Entrez Gene
1278270	Entrez Gene
1272519	Entrez Gene
1271954	Entrez Gene
1280542	Entrez Gene
1281052	Entrez Gene
1273362	Entrez Gene
1272398	Entrez Gene
1281739	Entrez Gene
1276217	Entrez Gene
1281522	Entrez Gene
1269903	Entrez Gene
1278761	Entrez Gene
1275676	Entrez Gene
1279804	Entrez Gene
1269588	Entrez Gene
1279594	Entrez Gene
3290537	Entrez Gene
1281681	Entrez Gene
AGAP012113	Ensembl
AGAP012113	Ensembl
