Identifier	Database
ENSRNOG00000013653	Ensembl
ENSRNOG00000015179	Ensembl
ENSRNOG00000037263	Ensembl
ENSRNOG00000003278	Ensembl
309361	Entrez Gene
ENSRNOG00000019311	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000019311	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000005724	Ensembl
ENSRNOG00000005724	Ensembl
ENSRNOG00000008441	Ensembl
ENSRNOG00000004639	Ensembl
ENSRNOG00000037237	Ensembl
ENSRNOG00000022485	Ensembl
ENSRNOG00000019073	Ensembl
299331	Entrez Gene
ENSRNOG00000001849	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000020155	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000006268	Ensembl
ENSRNOG00000015992	Ensembl
ENSRNOG00000000837	Ensembl
ENSRNOG00000010906	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000030888	Ensembl
