Identifier	Database
610255	Entrez Gene
485919	Entrez Gene
481756	Entrez Gene
607922	Entrez Gene
403547	Entrez Gene
486561	Entrez Gene
490968	Entrez Gene
490969	Entrez Gene
490860	Entrez Gene
478047	Entrez Gene
607439	Entrez Gene
403449	Entrez Gene
486804	Entrez Gene
483120	Entrez Gene
491278	Entrez Gene
480526	Entrez Gene
483625	Entrez Gene
403626	Entrez Gene
403475	Entrez Gene
486469	Entrez Gene
477221	Entrez Gene
487134	Entrez Gene
484626	Entrez Gene
403606	Entrez Gene
479021	Entrez Gene
609739	Entrez Gene
479155	Entrez Gene
492296	Entrez Gene
403922	Entrez Gene
595146	Entrez Gene
403998	Entrez Gene
403476	Entrez Gene
403673	Entrez Gene
486839	Entrez Gene
609156	Entrez Gene
403616	Entrez Gene
611540	Entrez Gene
485095	Entrez Gene
477329	Entrez Gene
476915	Entrez Gene
478127	Entrez Gene
403625	Entrez Gene
474720	Entrez Gene
403783	Entrez Gene
474890	Entrez Gene
485839	Entrez Gene
486507	Entrez Gene
442946	Entrez Gene
488735	Entrez Gene
403985	Entrez Gene
485069	Entrez Gene
606783	Entrez Gene
486127	Entrez Gene
477162	Entrez Gene
487826	Entrez Gene
490695	Entrez Gene
488693	Entrez Gene
477295	Entrez Gene
612788	Entrez Gene
489671	Entrez Gene
479127	Entrez Gene
475684	Entrez Gene
486989	Entrez Gene
403654	Entrez Gene
490967	Entrez Gene
481111	Entrez Gene
488449	Entrez Gene
100142679	Entrez Gene
490006	Entrez Gene
442949	Entrez Gene
442941	Entrez Gene
449478	Entrez Gene
403545	Entrez Gene
477116	Entrez Gene
611921	Entrez Gene
477032	Entrez Gene
403574	Entrez Gene
486756	Entrez Gene
486560	Entrez Gene
610902	Entrez Gene
482294	Entrez Gene
489593	Entrez Gene
486303	Entrez Gene
478989	Entrez Gene
483665	Entrez Gene
483267	Entrez Gene
474688	Entrez Gene
485819	Entrez Gene
486079	Entrez Gene
488908	Entrez Gene
478385	Entrez Gene
478328	Entrez Gene
479363	Entrez Gene
609368	Entrez Gene
475979	Entrez Gene
480348	Entrez Gene
487151	Entrez Gene
478885	Entrez Gene
483258	Entrez Gene
479515	Entrez Gene
486242	Entrez Gene
609067	Entrez Gene
479219	Entrez Gene
479312	Entrez Gene
474578	Entrez Gene
475251	Entrez Gene
479212	Entrez Gene
609743	Entrez Gene
611168	Entrez Gene
486148	Entrez Gene
492059	Entrez Gene
476054	Entrez Gene
480124	Entrez Gene
491249	Entrez Gene
482460	Entrez Gene
475670	Entrez Gene
607640	Entrez Gene
403607	Entrez Gene
403560	Entrez Gene
480255	Entrez Gene
485548	Entrez Gene
485876	Entrez Gene
611243	Entrez Gene
