Identifier	Database
403954	Entrez Gene
475788	Entrez Gene
483318	Entrez Gene
475032	Entrez Gene
490178	Entrez Gene
475108	Entrez Gene
478800	Entrez Gene
477991	Entrez Gene
612510	Entrez Gene
483312	Entrez Gene
474948	Entrez Gene
478082	Entrez Gene
403883	Entrez Gene
487235	Entrez Gene
609956	Entrez Gene
482512	Entrez Gene
488084	Entrez Gene
477085	Entrez Gene
483266	Entrez Gene
489644	Entrez Gene
403739	Entrez Gene
490439	Entrez Gene
444854	Entrez Gene
487351	Entrez Gene
480201	Entrez Gene
475882	Entrez Gene
480034	Entrez Gene
442954	Entrez Gene
476626	Entrez Gene
484121	Entrez Gene
480034	Entrez Gene
475882	Entrez Gene
442954	Entrez Gene
480034	Entrez Gene
480034	Entrez Gene
475882	Entrez Gene
484121	Entrez Gene
480173	Entrez Gene
442953	Entrez Gene
442939	Entrez Gene
607885	Entrez Gene
403955	Entrez Gene
482083	Entrez Gene
475992	Entrez Gene
485548	Entrez Gene
486148	Entrez Gene
404306	Entrez Gene
403588	Entrez Gene
489620	Entrez Gene
491292	Entrez Gene
477237	Entrez Gene
480645	Entrez Gene
607060	Entrez Gene
475864	Entrez Gene
490532	Entrez Gene
403438	Entrez Gene
475590	Entrez Gene
487870	Entrez Gene
477210	Entrez Gene
480034	Entrez Gene
476626	Entrez Gene
489497	Entrez Gene
490878	Entrez Gene
403567	Entrez Gene
483763	Entrez Gene
490904	Entrez Gene
478232	Entrez Gene
494005	Entrez Gene
489432	Entrez Gene
485864	Entrez Gene
403954	Entrez Gene
480144	Entrez Gene
480144	Entrez Gene
610902	Entrez Gene
610902	Entrez Gene
477210	Entrez Gene
474890	Entrez Gene
478800	Entrez Gene
483318	Entrez Gene
483318	Entrez Gene
478800	Entrez Gene
483318	Entrez Gene
478800	Entrez Gene
483318	Entrez Gene
478800	Entrez Gene
483318	Entrez Gene
478800	Entrez Gene
