Identifier	Database
487339	Entrez Gene
481449	Entrez Gene
480869	Entrez Gene
607309	Entrez Gene
474950	Entrez Gene
608973	Entrez Gene
486223	Entrez Gene
474991	Entrez Gene
478868	Entrez Gene
609937	Entrez Gene
476141	Entrez Gene
475351	Entrez Gene
482492	Entrez Gene
478739	Entrez Gene
479616	Entrez Gene
403722	Entrez Gene
476131	Entrez Gene
610519	Entrez Gene
477871	Entrez Gene
481839	Entrez Gene
484622	Entrez Gene
479737	Entrez Gene
487128	Entrez Gene
606931	Entrez Gene
477499	Entrez Gene
478667	Entrez Gene
477308	Entrez Gene
489798	Entrez Gene
479112	Entrez Gene
477166	Entrez Gene
475219	Entrez Gene
479955	Entrez Gene
491196	Entrez Gene
486421	Entrez Gene
482686	Entrez Gene
476806	Entrez Gene
611847	Entrez Gene
610047	Entrez Gene
480527	Entrez Gene
610457	Entrez Gene
476025	Entrez Gene
