Identifier	Database
ENSCAFG00000016333	Ensembl
ENSCAFG00000020382	Ensembl
ENSCAFG00000019436	Ensembl
ENSCAFG00000003587	Ensembl
ENSCAFG00000013774	Ensembl
477796	Entrez Gene
ENSCAFG00000010155	Ensembl
ENSCAFG00000013334	Ensembl
ENSCAFG00000010155	Ensembl
ENSCAFG00000013334	Ensembl
ENSCAFG00000003123	Ensembl
ENSCAFG00000003123	Ensembl
ENSCAFG00000012934	Ensembl
ENSCAFG00000006813	Ensembl
ENSCAFG00000019605	Ensembl
ENSCAFG00000009588	Ensembl
ENSCAFG00000005526	Ensembl
480438	Entrez Gene
ENSCAFG00000015421	Ensembl
ENSCAFG00000013334	Ensembl
ENSCAFG00000010730	Ensembl
ENSCAFG00000006551	Ensembl
ENSCAFG00000010730	Ensembl
ENSCAFG00000013334	Ensembl
ENSCAFG00000013334	Ensembl
ENSCAFG00000010730	Ensembl
ENSCAFG00000003029	Ensembl
ENSCAFG00000001653	Ensembl
ENSCAFG00000010505	Ensembl
ENSCAFG00000000517	Ensembl
ENSCAFG00000018171	Ensembl
ENSCAFG00000010730	Ensembl
ENSCAFG00000013334	Ensembl
