Identifier	Database
403657	Entrez Gene
484648	Entrez Gene
403872	Entrez Gene
403735	Entrez Gene
477819	Entrez Gene
487235	Entrez Gene
612902	Entrez Gene
478770	Entrez Gene
483312	Entrez Gene
480481	Entrez Gene
483042	Entrez Gene
491021	Entrez Gene
609956	Entrez Gene
490439	Entrez Gene
482512	Entrez Gene
488084	Entrez Gene
477085	Entrez Gene
489644	Entrez Gene
483266	Entrez Gene
483808	Entrez Gene
485167	Entrez Gene
442952	Entrez Gene
488449	Entrez Gene
484185	Entrez Gene
490967	Entrez Gene
490968	Entrez Gene
481111	Entrez Gene
490969	Entrez Gene
478347	Entrez Gene
490904	Entrez Gene
478061	Entrez Gene
479577	Entrez Gene
609091	Entrez Gene
478686	Entrez Gene
489968	Entrez Gene
484316	Entrez Gene
611939	Entrez Gene
489547	Entrez Gene
476262	Entrez Gene
485016	Entrez Gene
479921	Entrez Gene
608060	Entrez Gene
489532	Entrez Gene
477575	Entrez Gene
486758	Entrez Gene
488574	Entrez Gene
491860	Entrez Gene
477746	Entrez Gene
485004	Entrez Gene
481163	Entrez Gene
403418	Entrez Gene
477237	Entrez Gene
477728	Entrez Gene
404306	Entrez Gene
477602	Entrez Gene
486513	Entrez Gene
490977	Entrez Gene
477601	Entrez Gene
475117	Entrez Gene
482083	Entrez Gene
483277	Entrez Gene
490967	Entrez Gene
611500	Entrez Gene
489636	Entrez Gene
486133	Entrez Gene
480648	Entrez Gene
612343	Entrez Gene
487965	Entrez Gene
479473	Entrez Gene
488167	Entrez Gene
490904	Entrez Gene
475356	Entrez Gene
477686	Entrez Gene
479074	Entrez Gene
478938	Entrez Gene
491986	Entrez Gene
487649	Entrez Gene
491756	Entrez Gene
490548	Entrez Gene
483881	Entrez Gene
476221	Entrez Gene
488025	Entrez Gene
607247	Entrez Gene
490682	Entrez Gene
491319	Entrez Gene
609858	Entrez Gene
607535	Entrez Gene
485504	Entrez Gene
609409	Entrez Gene
490792	Entrez Gene
403924	Entrez Gene
477501	Entrez Gene
475665	Entrez Gene
478372	Entrez Gene
487309	Entrez Gene
612797	Entrez Gene
611239	Entrez Gene
609429	Entrez Gene
486507	Entrez Gene
490878	Entrez Gene
485409	Entrez Gene
478478	Entrez Gene
487353	Entrez Gene
491768	Entrez Gene
612448	Entrez Gene
484375	Entrez Gene
475213	Entrez Gene
612435	Entrez Gene
403506	Entrez Gene
484716	Entrez Gene
481297	Entrez Gene
476057	Entrez Gene
484849	Entrez Gene
608964	Entrez Gene
489814	Entrez Gene
476662	Entrez Gene
403856	Entrez Gene
489178	Entrez Gene
404306	Entrez Gene
404306	Entrez Gene
480854	Entrez Gene
482044	Entrez Gene
483489	Entrez Gene
490174	Entrez Gene
607885	Entrez Gene
491326	Entrez Gene
479648	Entrez Gene
487432	Entrez Gene
490831	Entrez Gene
480144	Entrez Gene
610902	Entrez Gene
480144	Entrez Gene
610902	Entrez Gene
486545	Entrez Gene
607922	Entrez Gene
477295	Entrez Gene
486299	Entrez Gene
490235	Entrez Gene
478799	Entrez Gene
612941	Entrez Gene
477199	Entrez Gene
491857	Entrez Gene
492176	Entrez Gene
490235	Entrez Gene
491768	Entrez Gene
612902	Entrez Gene
477295	Entrez Gene
475356	Entrez Gene
403506	Entrez Gene
488449	Entrez Gene
490967	Entrez Gene
481111	Entrez Gene
490968	Entrez Gene
479428	Entrez Gene
485874	Entrez Gene
485504	Entrez Gene
489692	Entrez Gene
489692	Entrez Gene
486717	Entrez Gene
484648	Entrez Gene
483808	Entrez Gene
490439	Entrez Gene
488167	Entrez Gene
479648	Entrez Gene
491326	Entrez Gene
484716	Entrez Gene
484716	Entrez Gene
481297	Entrez Gene
488449	Entrez Gene
485864	Entrez Gene
608125	Entrez Gene
476659	Entrez Gene
403955	Entrez Gene
486102	Entrez Gene
403980	Entrez Gene
475294	Entrez Gene
485677	Entrez Gene
481319	Entrez Gene
485874	Entrez Gene
491180	Entrez Gene
490311	Entrez Gene
490006	Entrez Gene
442949	Entrez Gene
485209	Entrez Gene
404008	Entrez Gene
487132	Entrez Gene
607073	Entrez Gene
479428	Entrez Gene
488195	Entrez Gene
490926	Entrez Gene
480686	Entrez Gene
479158	Entrez Gene
480459	Entrez Gene
486717	Entrez Gene
477488	Entrez Gene
477575	Entrez Gene
478347	Entrez Gene
489117	Entrez Gene
489117	Entrez Gene
607073	Entrez Gene
607073	Entrez Gene
403657	Entrez Gene
403657	Entrez Gene
611239	Entrez Gene
404306	Entrez Gene
