Identifier	Database
481256	Entrez Gene
481256	Entrez Gene
477323	Entrez Gene
477753	Entrez Gene
489458	Entrez Gene
477753	Entrez Gene
489458	Entrez Gene
479611	Entrez Gene
485919	Entrez Gene
477323	Entrez Gene
479476	Entrez Gene
489485	Entrez Gene
403544	Entrez Gene
442942	Entrez Gene
482771	Entrez Gene
607316	Entrez Gene
486400	Entrez Gene
475880	Entrez Gene
482611	Entrez Gene
480698	Entrez Gene
609101	Entrez Gene
403740	Entrez Gene
HMDB01043	HMDB
HMDB01193	HMDB
HMDB03252	HMDB
HMDB01452	HMDB
HMDB01381	HMDB
HMDB01403	HMDB
HMDB01139	HMDB
HMDB01337	HMDB
HMDB01085	HMDB
HMDB01198	HMDB
HMDB03080	HMDB
HMDB02200	HMDB
HMDB01335	HMDB
