Identifier	Database
482045	Entrez Gene
484024	Entrez Gene
494007	Entrez Gene
489168	Entrez Gene
482667	Entrez Gene
492110	Entrez Gene
489427	Entrez Gene
490012	Entrez Gene
494009	Entrez Gene
483302	Entrez Gene
484405	Entrez Gene
485146	Entrez Gene
15966	ChEBI
29320	ChEBI
17489	ChEBI
403556	Entrez Gene
479643	Entrez Gene
482033	Entrez Gene
478347	Entrez Gene
611939	Entrez Gene
476594	Entrez Gene
479238	Entrez Gene
609934	Entrez Gene
482299	Entrez Gene
448805	Entrez Gene
403701	Entrez Gene
489110	Entrez Gene
403556	Entrez Gene
486758	Entrez Gene
477575	Entrez Gene
403580	Entrez Gene
607922	Entrez Gene
