Identifier	Database
403985	Entrez Gene
612271	Entrez Gene
612271	Entrez Gene
403545	Entrez Gene
403545	Entrez Gene
609483	Entrez Gene
482140	Entrez Gene
492019	Entrez Gene
484185	Entrez Gene
477488	Entrez Gene
442952	Entrez Gene
476714	Entrez Gene
490439	Entrez Gene
483312	Entrez Gene
490967	Entrez Gene
483042	Entrez Gene
485016	Entrez Gene
477575	Entrez Gene
483808	Entrez Gene
487235	Entrez Gene
609956	Entrez Gene
488449	Entrez Gene
488449	Entrez Gene
488449	Entrez Gene
490967	Entrez Gene
488449	Entrez Gene
490967	Entrez Gene
490967	Entrez Gene
490967	Entrez Gene
403856	Entrez Gene
403856	Entrez Gene
403647	Entrez Gene
403647	Entrez Gene
442859	Entrez Gene
442859	Entrez Gene
491160	Entrez Gene
475684	Entrez Gene
479866	Entrez Gene
403955	Entrez Gene
491325	Entrez Gene
474873	Entrez Gene
403588	Entrez Gene
487309	Entrez Gene
494005	Entrez Gene
486102	Entrez Gene
485167	Entrez Gene
489508	Entrez Gene
480438	Entrez Gene
442949	Entrez Gene
490792	Entrez Gene
609429	Entrez Gene
486303	Entrez Gene
403883	Entrez Gene
481105	Entrez Gene
485828	Entrez Gene
477886	Entrez Gene
484648	Entrez Gene
403567	Entrez Gene
487432	Entrez Gene
403608	Entrez Gene
482873	Entrez Gene
484335	Entrez Gene
479444	Entrez Gene
477374	Entrez Gene
478053	Entrez Gene
610262	Entrez Gene
485672	Entrez Gene
607103	Entrez Gene
491303	Entrez Gene
490280	Entrez Gene
483755	Entrez Gene
480436	Entrez Gene
481806	Entrez Gene
480349	Entrez Gene
480454	Entrez Gene
475537	Entrez Gene
480488	Entrez Gene
612448	Entrez Gene
486758	Entrez Gene
487341	Entrez Gene
485874	Entrez Gene
476262	Entrez Gene
476915	Entrez Gene
490878	Entrez Gene
483763	Entrez Gene
478575	Entrez Gene
477295	Entrez Gene
478347	Entrez Gene
611939	Entrez Gene
487870	Entrez Gene
477112	Entrez Gene
477746	Entrez Gene
475108	Entrez Gene
486299	Entrez Gene
491946	Entrez Gene
485209	Entrez Gene
480580	Entrez Gene
475590	Entrez Gene
491750	Entrez Gene
475032	Entrez Gene
403469	Entrez Gene
490967	Entrez Gene
490968	Entrez Gene
490969	Entrez Gene
490967	Entrez Gene
490967	Entrez Gene
490263	Entrez Gene
474996	Entrez Gene
474996	Entrez Gene
403979	Entrez Gene
403985	Entrez Gene
491154	Entrez Gene
