Identifier	Database
484990	Entrez Gene
442951	Entrez Gene
486148	Entrez Gene
492059	Entrez Gene
488084	Entrez Gene
477085	Entrez Gene
483266	Entrez Gene
489644	Entrez Gene
487235	Entrez Gene
609956	Entrez Gene
100856339	Entrez Gene
477064	Entrez Gene
485399	Entrez Gene
490477	Entrez Gene
477681	Entrez Gene
479875	Entrez Gene
490878	Entrez Gene
449021	Entrez Gene
478575	Entrez Gene
484476	Entrez Gene
403673	Entrez Gene
403832	Entrez Gene
478686	Entrez Gene
479577	Entrez Gene
609100	Entrez Gene
490679	Entrez Gene
480487	Entrez Gene
474563	Entrez Gene
485819	Entrez Gene
477295	Entrez Gene
403849	Entrez Gene
611993	Entrez Gene
483808	Entrez Gene
490439	Entrez Gene
483312	Entrez Gene
477488	Entrez Gene
483042	Entrez Gene
490682	Entrez Gene
484648	Entrez Gene
478347	Entrez Gene
611939	Entrez Gene
489547	Entrez Gene
609559	Entrez Gene
480454	Entrez Gene
478061	Entrez Gene
612902	Entrez Gene
480481	Entrez Gene
476262	Entrez Gene
479790	Entrez Gene
491690	Entrez Gene
477575	Entrez Gene
478311	Entrez Gene
612821	Entrez Gene
474652	Entrez Gene
478464	Entrez Gene
484527	Entrez Gene
476215	Entrez Gene
484504	Entrez Gene
477746	Entrez Gene
403856	Entrez Gene
487085	Entrez Gene
607170	Entrez Gene
483759	Entrez Gene
483732	Entrez Gene
607019	Entrez Gene
490765	Entrez Gene
481331	Entrez Gene
489532	Entrez Gene
100685499	Entrez Gene
475734	Entrez Gene
487345	Entrez Gene
100686834	Entrez Gene
607023	Entrez Gene
490685	Entrez Gene
490926	Entrez Gene
480580	Entrez Gene
612448	Entrez Gene
491768	Entrez Gene
610499	Entrez Gene
487353	Entrez Gene
490831	Entrez Gene
491989	Entrez Gene
612105	Entrez Gene
482411	Entrez Gene
475389	Entrez Gene
489369	Entrez Gene
487965	Entrez Gene
612343	Entrez Gene
491286	Entrez Gene
475317	Entrez Gene
100686806	Entrez Gene
612985	Entrez Gene
484573	Entrez Gene
474579	Entrez Gene
100684309	Entrez Gene
474831	Entrez Gene
100856195	Entrez Gene
477263	Entrez Gene
478232	Entrez Gene
487870	Entrez Gene
475590	Entrez Gene
403607	Entrez Gene
403737	Entrez Gene
481528	Entrez Gene
490792	Entrez Gene
609429	Entrez Gene
482437	Entrez Gene
607755	Entrez Gene
403735	Entrez Gene
611304	Entrez Gene
485209	Entrez Gene
490904	Entrez Gene
489968	Entrez Gene
478013	Entrez Gene
490722	Entrez Gene
494005	Entrez Gene
100856150	Entrez Gene
611614	Entrez Gene
487797	Entrez Gene
480688	Entrez Gene
475545	Entrez Gene
479883	Entrez Gene
479210	Entrez Gene
491094	Entrez Gene
479491	Entrez Gene
477158	Entrez Gene
478268	Entrez Gene
100685675	Entrez Gene
484417	Entrez Gene
100855443	Entrez Gene
100855651	Entrez Gene
474675	Entrez Gene
403647	Entrez Gene
610835	Entrez Gene
481954	Entrez Gene
485494	Entrez Gene
491860	Entrez Gene
612861	Entrez Gene
478770	Entrez Gene
609241	Entrez Gene
403880	Entrez Gene
490128	Entrez Gene
489919	Entrez Gene
477746	Entrez Gene
490006	Entrez Gene
442949	Entrez Gene
479351	Entrez Gene
489571	Entrez Gene
482839	Entrez Gene
477532	Entrez Gene
403955	Entrez Gene
481271	Entrez Gene
485548	Entrez Gene
611955	Entrez Gene
485004	Entrez Gene
489820	Entrez Gene
486148	Entrez Gene
