Identifier	Database
610386	Entrez Gene
494005	Entrez Gene
481330	Entrez Gene
481328	Entrez Gene
486469	Entrez Gene
488361	Entrez Gene
486537	Entrez Gene
481628	Entrez Gene
477039	Entrez Gene
607076	Entrez Gene
403922	Entrez Gene
100855728	Entrez Gene
475734	Entrez Gene
607170	Entrez Gene
474573	Entrez Gene
609559	Entrez Gene
489532	Entrez Gene
478347	Entrez Gene
611939	Entrez Gene
477575	Entrez Gene
479790	Entrez Gene
491690	Entrez Gene
612199	Entrez Gene
480454	Entrez Gene
442986	Entrez Gene
485692	Entrez Gene
478492	Entrez Gene
478311	Entrez Gene
477480	Entrez Gene
491160	Entrez Gene
489943	Entrez Gene
484938	Entrez Gene
484028	Entrez Gene
481245	Entrez Gene
100688110	Entrez Gene
487345	Entrez Gene
100685499	Entrez Gene
478802	Entrez Gene
483732	Entrez Gene
484527	Entrez Gene
481331	Entrez Gene
485004	Entrez Gene
403402	Entrez Gene
403461	Entrez Gene
611987	Entrez Gene
490404	Entrez Gene
403657	Entrez Gene
483680	Entrez Gene
404306	Entrez Gene
442985	Entrez Gene
483312	Entrez Gene
490682	Entrez Gene
477082	Entrez Gene
403872	Entrez Gene
403871	Entrez Gene
478255	Entrez Gene
484528	Entrez Gene
610203	Entrez Gene
489968	Entrez Gene
479577	Entrez Gene
490722	Entrez Gene
494005	Entrez Gene
403556	Entrez Gene
608981	Entrez Gene
483225	Entrez Gene
475526	Entrez Gene
484648	Entrez Gene
486959	Entrez Gene
480618	Entrez Gene
479158	Entrez Gene
481163	Entrez Gene
607227	Entrez Gene
485409	Entrez Gene
490926	Entrez Gene
482839	Entrez Gene
489117	Entrez Gene
482594	Entrez Gene
486884	Entrez Gene
484742	Entrez Gene
482880	Entrez Gene
488673	Entrez Gene
478175	Entrez Gene
480488	Entrez Gene
442859	Entrez Gene
478207	Entrez Gene
489997	Entrez Gene
491768	Entrez Gene
474503	Entrez Gene
403924	Entrez Gene
490792	Entrez Gene
612861	Entrez Gene
609027	Entrez Gene
403486	Entrez Gene
479248	Entrez Gene
612559	Entrez Gene
610453	Entrez Gene
479406	Entrez Gene
609429	Entrez Gene
609409	Entrez Gene
478806	Entrez Gene
491860	Entrez Gene
403869	Entrez Gene
480726	Entrez Gene
100684766	Entrez Gene
100684309	Entrez Gene
608125	Entrez Gene
481084	Entrez Gene
485189	Entrez Gene
607262	Entrez Gene
477746	Entrez Gene
478464	Entrez Gene
474652	Entrez Gene
607227	Entrez Gene
485409	Entrez Gene
481163	Entrez Gene
480344	Entrez Gene
490878	Entrez Gene
449021	Entrez Gene
442964	Entrez Gene
475045	Entrez Gene
100686834	Entrez Gene
612814	Entrez Gene
607885	Entrez Gene
478061	Entrez Gene
487085	Entrez Gene
481271	Entrez Gene
403955	Entrez Gene
403934	Entrez Gene
487899	Entrez Gene
482737	Entrez Gene
488473	Entrez Gene
487432	Entrez Gene
403567	Entrez Gene
480673	Entrez Gene
612821	Entrez Gene
607023	Entrez Gene
607439	Entrez Gene
609969	Entrez Gene
479155	Entrez Gene
611362	Entrez Gene
403979	Entrez Gene
474503	Entrez Gene
485790	Entrez Gene
403897	Entrez Gene
490263	Entrez Gene
403856	Entrez Gene
480632	Entrez Gene
476262	Entrez Gene
476215	Entrez Gene
474873	Entrez Gene
488596	Entrez Gene
403998	Entrez Gene
490796	Entrez Gene
442968	Entrez Gene
403974	Entrez Gene
403782	Entrez Gene
HMDB00058	HMDB
WP428	WikiPathways
WP254	WikiPathways
WP179	WikiPathways
