Identifier	Database
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000008636	Ensembl
610570	Entrez Gene
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000000867	Ensembl
ENSCAFG00000004162	Ensembl
ENSCAFG00000008636	Ensembl
ENSCAFG00000015020	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
ENSCAFG00000006555	Ensembl
ENSCAFG00000014390	Ensembl
ENSCAFG00000001043	Ensembl
