Identifier	Database
HMDB01487	HMDB
HMDB00902	HMDB
HMDB01362	HMDB
HMDB01341	HMDB
HMDB00538	HMDB
480149	Entrez Gene
403669	Entrez Gene
476756	Entrez Gene
477595	Entrez Gene
491061	Entrez Gene
479901	Entrez Gene
491061	Entrez Gene
478807	Entrez Gene
478393	Entrez Gene
490683	Entrez Gene
804488	Entrez Gene
610922	Entrez Gene
ENSCAFG00000022729	Ensembl
ENSCAFG00000022730	Ensembl
476735	Entrez Gene
476754	Entrez Gene
804476	Entrez Gene
804477	Entrez Gene
804481	Entrez Gene
804484	Entrez Gene
804482	Entrez Gene
804483	Entrez Gene
478032	Entrez Gene
804485	Entrez Gene
608244	Entrez Gene
480741	Entrez Gene
475214	Entrez Gene
477682	Entrez Gene
477718	Entrez Gene
479805	Entrez Gene
476722	Entrez Gene
474483	Entrez Gene
478880	Entrez Gene
478981	Entrez Gene
477798	Entrez Gene
475978	Entrez Gene
478629	Entrez Gene
479335	Entrez Gene
479887	Entrez Gene
607943	Entrez Gene
475322	Entrez Gene
476004	Entrez Gene
490630	Entrez Gene
478577	Entrez Gene
476686	Entrez Gene
476794	Entrez Gene
475094	Entrez Gene
480204	Entrez Gene
607407	Entrez Gene
