Identifier	Database
480490	Entrez Gene
403614	Entrez Gene
403808	Entrez Gene
403580	Entrez Gene
478250	Entrez Gene
403532	Entrez Gene
480137	Entrez Gene
606758	Entrez Gene
477991	Entrez Gene
481598	Entrez Gene
475995	Entrez Gene
403566	Entrez Gene
475996	Entrez Gene
476383	Entrez Gene
476595	Entrez Gene
485899	Entrez Gene
476644	Entrez Gene
478896	Entrez Gene
489504	Entrez Gene
479191	Entrez Gene
484526	Entrez Gene
474771	Entrez Gene
480191	Entrez Gene
608508	Entrez Gene
478819	Entrez Gene
497091	Entrez Gene
609879	Entrez Gene
478332	Entrez Gene
483624	Entrez Gene
476404	Entrez Gene
475442	Entrez Gene
477587	Entrez Gene
475923	Entrez Gene
485856	Entrez Gene
483707	Entrez Gene
