Identifier	Database
403640	Entrez Gene
403640	Entrez Gene
403640	Entrez Gene
403640	Entrez Gene
403640	Entrez Gene
403640	Entrez Gene
403640	Entrez Gene
479866	Entrez Gene
478327	Entrez Gene
611193	Entrez Gene
403640	Entrez Gene
476836	Entrez Gene
478089	Entrez Gene
475597	Entrez Gene
493995	Entrez Gene
478327	Entrez Gene
480346	Entrez Gene
480815	Entrez Gene
479960	Entrez Gene
489846	Entrez Gene
487180	Entrez Gene
477446	Entrez Gene
609164	Entrez Gene
476973	Entrez Gene
476105	Entrez Gene
608441	Entrez Gene
488002	Entrez Gene
479156	Entrez Gene
611193	Entrez Gene
606988	Entrez Gene
476881	Entrez Gene
611859	Entrez Gene
478656	Entrez Gene
475152	Entrez Gene
474512	Entrez Gene
478109	Entrez Gene
476052	Entrez Gene
476476	Entrez Gene
479483	Entrez Gene
479515	Entrez Gene
607662	Entrez Gene
490941	Entrez Gene
478040	Entrez Gene
480907	Entrez Gene
487309	Entrez Gene
486589	Entrez Gene
475035	Entrez Gene
480957	Entrez Gene
478372	Entrez Gene
449028	Entrez Gene
611955	Entrez Gene
ENSCAFG00000015421	Ensembl
475526	Entrez Gene
491860	Entrez Gene
ENSCAFG00000017298	Ensembl
483312	Entrez Gene
483042	Entrez Gene
403640	Entrez Gene
485864	Entrez Gene
403856	Entrez Gene
474652	Entrez Gene
488084	Entrez Gene
490878	Entrez Gene
6076	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
5757	PubChem-compound
403556	Entrez Gene
607922	Entrez Gene
403416	Entrez Gene
403416	Entrez Gene
ENSCAFG00000005526	Ensembl
ENSCAFG00000019605	Ensembl
ENSCAFG00000009588	Ensembl
442859	Entrez Gene
442859	Entrez Gene
607922	Entrez Gene
486507	Entrez Gene
609429	Entrez Gene
490792	Entrez Gene
403943	Entrez Gene
403912	Entrez Gene
403895	Entrez Gene
480808	Entrez Gene
403437	Entrez Gene
