Identifier	Database
CHEBI:15361	ChEBI
CHEBI:15570	ChEBI
CHEBI:35808	ChEBI
CHEBI:16452	ChEBI
CHEBI:30031	ChEBI
CHEBI:29806	ChEBI
CHEBI:15595 	ChEBI
CHEBI:16977	ChEBI
21243783	Chemspider
10718031	Chemspider
20015802	Chemspider
144236	Chemspider
3714789	Chemspider
3426716	Chemspider
CHEBI:15351	ChEBI
25104	Entrez Gene
2.3.1.7	Enzyme Nomenclature
2.6.1.18	Enzyme Nomenclature
81632	Entrez Gene
6.3.2.11	Enzyme Nomenclature
3.4.13.3	Enzyme Nomenclature
4.1.1.11	Enzyme Nomenclature
4.1.1.12	Enzyme Nomenclature
24380	Entrez Gene
2.6.1.12	Enzyme Nomenclature
116483	Entrez Gene
81670	Entrez Gene
24792	Entrez Gene
6.1.1.7	Enzyme Nomenclature
5.1.1.1	Enzyme Nomenclature
6.3.4.4	Enzyme Nomenclature
ASS	Entrez Gene
3.5.1.1	Enzyme Nomenclature
3.5.1.38	Enzyme Nomenclature
6.3.1.1	Enzyme Nomenclature
6.3.5.4	Enzyme Nomenclature
4.3.1.1	Enzyme Nomenclature
59085	Entrez Gene
4.3.2.2	Enzyme Nomenclature
2.6.1.14	Enzyme Nomenclature
3.5.1.3	Enzyme Nomenclature
1.4.3.2	Enzyme Nomenclature
1.4.3.16	Enzyme Nomenclature
1.2.1.18	Enzyme Nomenclature
2.1.3.2	Enzyme Nomenclature
25721	Entrez Gene
6.3.5.6	Enzyme Nomenclature
116483	Entrez Gene
6.1.1.22	Enzyme Nomenclature
1.4.3.1	Enzyme Nomenclature
1.4.3.15	Enzyme Nomenclature
3.5.1.7	Enzyme Nomenclature
5.1.1.13	Enzyme Nomenclature
79251	Entrez Gene
24379	Entrez Gene
24401	Entrez Gene
WP337	WikiPathways
