Identifier	Database
25513	Entrez Gene
294797	Entrez Gene
25326	Entrez Gene
140924	Entrez Gene
84598	Entrez Gene
25150	Entrez Gene
81515	Entrez Gene
24918	Entrez Gene
25126	Entrez Gene
25125	Entrez Gene
25513	Entrez Gene
50646	Entrez Gene
25467	Entrez Gene
29376	Entrez Gene
24185	Entrez Gene
25124	Entrez Gene
311030	Entrez Gene
498798	Entrez Gene
24887	Entrez Gene
64639	Entrez Gene
294515	Entrez Gene
84027	Entrez Gene
84482	Entrez Gene
24708	Entrez Gene
64033	Entrez Gene
114494	Entrez Gene
94201	Entrez Gene
 	Entrez Gene
54241	Entrez Gene
64547	Entrez Gene
60430	Entrez Gene
364403	Entrez Gene
116590	Entrez Gene
50689	Entrez Gene
171136	Entrez Gene
85385	Entrez Gene
81504	Entrez Gene
313845	Entrez Gene
500985	Entrez Gene
24508	Entrez Gene
24571	Entrez Gene
293621	Entrez Gene
24703	Entrez Gene
170851	Entrez Gene
58960	Entrez Gene
