Identifier	Database
85309	Entrez Gene
287379	Entrez Gene
64392	Entrez Gene
64365	Entrez Gene
362657	Entrez Gene
81508	Entrez Gene
84350	Entrez Gene
81522	Entrez Gene
290947	Entrez Gene
64300	Entrez Gene
288259	Entrez Gene
81643	Entrez Gene
24312	Entrez Gene
361472	Entrez Gene
315763	Entrez Gene
444984	Entrez Gene
444985	Entrez Gene
680308	Entrez Gene
89833	Entrez Gene
300886	Entrez Gene
361472	Entrez Gene
64300	Entrez Gene
361472	Entrez Gene
64300	Entrez Gene
29443	Entrez Gene
312192	Entrez Gene
689330	Entrez Gene
25331	Entrez Gene
89833	Entrez Gene
25513-46-6	CAS
59-30-3	CAS
135-16-0	CAS
4033-27-6	CAS
25513-46-6	CAS
134-35-0	CAS
2800-34-2	CAS
7444-29-3	CAS
63-68-3	CAS
107-43-7	CAS
29908-03-0	CAS
979-92-0	CAS
6027-13-0	CAS
306586	Entrez Gene
680308	Entrez Gene
299857	Entrez Gene
306586	Entrez Gene
29261	Entrez Gene
288259	Entrez Gene
24312	Entrez Gene
24312	Entrez Gene
21403073	Chemspider
24921423	Chemspider
597	Chemspider
730	Chemspider
CHEBI:27306	ChEBI
315142	Chemspider
CHEBI:57457	ChEBI
CHEBI:17015	ChEBI
