Identifier	Database
246756	Entrez Gene
246775	Entrez Gene
25625	Entrez Gene
24835	Entrez Gene
156767	Entrez Gene
311786	Entrez Gene
116667	Entrez Gene
287398	Entrez Gene
25272	Entrez Gene
266610	Entrez Gene
306886	Entrez Gene
78971	Entrez Gene
60371	Entrez Gene
63879	Entrez Gene
83584	Entrez Gene
64026	Entrez Gene
25402	Entrez Gene
64314	Entrez Gene
24224	Entrez Gene
309295	Entrez Gene
246097	Entrez Gene
24888	Entrez Gene
171528	Entrez Gene
50669	Entrez Gene
25385	Entrez Gene
116502	Entrez Gene
64625	Entrez Gene
24887	Entrez Gene
24577	Entrez Gene
24842	Entrez Gene
314856	Entrez Gene
309165	Entrez Gene
81736	Entrez Gene
78963	Entrez Gene
58918	Entrez Gene
25493	Entrez Gene
24516	Entrez Gene
64547	Entrez Gene
117271	Entrez Gene
140923	Entrez Gene
84359	Entrez Gene
114214	Entrez Gene
294071	Entrez Gene
64639	Entrez Gene
25166	Entrez Gene
114555	Entrez Gene
64044	Entrez Gene
362788	Entrez Gene
500592	Entrez Gene
25008	Entrez Gene
364420	Entrez Gene
316256	Entrez Gene
84351	Entrez Gene
309361	Entrez Gene
81525	Entrez Gene
316241	Entrez Gene
25493	Entrez Gene
81525	Entrez Gene
316241	Entrez Gene
81736	Entrez Gene
309165	Entrez Gene
64041	Entrez Gene
24508	Entrez Gene
290749	Entrez Gene
292892	Entrez Gene
291100	Entrez Gene
296953	Entrez Gene
364081	Entrez Gene
293624	Entrez Gene
25625	Entrez Gene
314756	Entrez Gene
306886	Entrez Gene
246756	Entrez Gene
117279	Entrez Gene
25163	Entrez Gene
492821	Entrez Gene
317673	Entrez Gene
29884	Entrez Gene
288753	Entrez Gene
60430	Entrez Gene
60434	Entrez Gene
24482	Entrez Gene
24483	Entrez Gene
25718	Entrez Gene
25513	Entrez Gene
24185	Entrez Gene
64639	Entrez Gene
25310	Entrez Gene
25309	Entrez Gene
246334	Entrez Gene
362675	Entrez Gene
