Identifier	Database
ENSRNOG00000009515	Ensembl
HMDB00285	HMDB
HMDB01487	HMDB
HMDB00902	HMDB
ENSRNOG00000002185	Ensembl
HMDB01586	HMDB
ENSRNOG00000009889	Ensembl
HMDB00935	HMDB
679990	Entrez Gene
HMDB00295	HMDB
HMDB02111	HMDB
HMDB01401	HMDB
HMDB00061	HMDB
HMDB01362	HMDB
HMDB00538	HMDB
HMDB00122	HMDB
HMDB00286	HMDB
ENSRNOG00000002643	Ensembl
ENSRNOG00000008079	Ensembl
25058	Entrez Gene
HMDB01429	HMDB
HMDB01429	HMDB
286954	Entrez Gene
574523	Entrez Gene
301595	Entrez Gene
289533	Entrez Gene
113992	Entrez Gene
83808	Entrez Gene
286954	Entrez Gene
305264	Entrez Gene
396551	Entrez Gene
63867	Entrez Gene
24861	Entrez Gene
396552	Entrez Gene
286989	Entrez Gene
396527	Entrez Gene
