Identifier	Database
ENSRNOG00000029773	Ensembl
ENSRNOG00000033065	Ensembl
ENSRNOG00000003123	Ensembl
ENSRNOG00000009506	Ensembl
ENSRNOG00000008580	Ensembl
499870	Entrez Gene
ENSRNOG00000003123	Ensembl
ENSRNOG00000003123	Ensembl
ENSRNOG00000029773	Ensembl
499870	Entrez Gene
499870	Entrez Gene
ENSRNOG00000001111	Ensembl
ENSRNOG00000001111	Ensembl
ENSRNOG00000001111	Ensembl
ENSRNOG00000003123	Ensembl
ENSRNOG00000009742	Ensembl
499870	Entrez Gene
ENSRNOG00000009742	Ensembl
ENSRNOG00000019681	Ensembl
ENSRNOG00000001111	Ensembl
ENSRNOG00000009742	Ensembl
ENSRNOG00000039949	Ensembl
ENSRNOG00000039949	Ensembl
ENSRNOG00000014098	Ensembl
ENSRNOG00000018411	Ensembl
ENSRNOG00000018765	Ensembl
