Identifier	Database
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000029966	Ensembl
363251	Entrez Gene
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000033065	Ensembl
ENSRNOG00000009506	Ensembl
ENSRNOG00000029966	Ensembl
ENSRNOG00000018162	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
ENSRNOG00000025028	Ensembl
ENSRNOG00000016105	Ensembl
ENSRNOG00000006392	Ensembl
