Identifier	Database
CHEBI:17579	ChEBI
CHEBI:17579	ChEBI
CHEBI:17579	ChEBI
CHEBI:17579	ChEBI
25073	Entrez Gene
690953	Entrez Gene
685072	Entrez Gene
116676	Entrez Gene
432367	Entrez Gene
25271	Entrez Gene
362662	Entrez Gene
114628	Entrez Gene
29184	Entrez Gene
353252	Entrez Gene
24710	Entrez Gene
24188	Entrez Gene
29646	Entrez Gene
314264	Entrez Gene
83574	Entrez Gene
24539	Entrez Gene
155192	Entrez Gene
361801	Entrez Gene
24172	Entrez Gene
25061	Entrez Gene
64047	Entrez Gene
64047	Entrez Gene
266603	Entrez Gene
83783	Entrez Gene
29563	Entrez Gene
25086	Entrez Gene
313689	Entrez Gene
24705	Entrez Gene
25073	Entrez Gene
25056	Entrez Gene
312495	Entrez Gene
25703	Entrez Gene
154985	Entrez Gene
114106	Entrez Gene
366791	Entrez Gene
24188	Entrez Gene
293049	Entrez Gene
89826	Entrez Gene
314264	Entrez Gene
116676	Entrez Gene
24706	Entrez Gene
366791	Entrez Gene
292915	Entrez Gene
266603	Entrez Gene
114106	Entrez Gene
246298	Entrez Gene
HMDB03993	HMDB
HMDB02204	HMDB
HMDB03101	HMDB
HMDB02789	HMDB
HMDB02268	HMDB
HMDB02268	HMDB
HMDB03154	HMDB
HMDB03233	HMDB
HMDB00876	HMDB
HMDB03000	HMDB
114106	Entrez Gene
