Identifier	Database
418090	Entrez Gene
395479	Entrez Gene
395099	Entrez Gene
395838	Entrez Gene
378781	Entrez Gene
395281	Entrez Gene
395556	Entrez Gene
423459	Entrez Gene
416343	Entrez Gene
427718	Entrez Gene
396185	Entrez Gene
408183	Entrez Gene
428809	Entrez Gene
417143	Entrez Gene
395213	Entrez Gene
395221	Entrez Gene
396219	Entrez Gene
373915	Entrez Gene
395274	Entrez Gene
419126	Entrez Gene
419106	Entrez Gene
416018	Entrez Gene
373928	Entrez Gene
395670	Entrez Gene
769007	Entrez Gene
769067	Entrez Gene
419147	Entrez Gene
395706	Entrez Gene
395491	Entrez Gene
373955	Entrez Gene
418931	Entrez Gene
386582	Entrez Gene
415721	Entrez Gene
404536	Entrez Gene
427237	Entrez Gene
421543	Entrez Gene
396142	Entrez Gene
395303	Entrez Gene
378795	Entrez Gene
415487	Entrez Gene
395337	Entrez Gene
693255	Entrez Gene
429929	Entrez Gene
414883	Entrez Gene
378779	Entrez Gene
422581	Entrez Gene
396165	Entrez Gene
374231	Entrez Gene
418818	Entrez Gene
396039	Entrez Gene
422815	Entrez Gene
422016	Entrez Gene
420176	Entrez Gene
374120	Entrez Gene
420027	Entrez Gene
424044	Entrez Gene
416630	Entrez Gene
395299	Entrez Gene
395885	Entrez Gene
395262	Entrez Gene
395684	Entrez Gene
425033	Entrez Gene
395964	Entrez Gene
418154	Entrez Gene
395132	Entrez Gene
374062	Entrez Gene
419416	Entrez Gene
416967	Entrez Gene
396231	Entrez Gene
395545	Entrez Gene
396145	Entrez Gene
417707	Entrez Gene
416304	Entrez Gene
396392	Entrez Gene
427966	Entrez Gene
415377	Entrez Gene
395660	Entrez Gene
373923	Entrez Gene
374177	Entrez Gene
420463	Entrez Gene
429011	Entrez Gene
420732	Entrez Gene
417598	Entrez Gene
416815	Entrez Gene
427588	Entrez Gene
395512	Entrez Gene
395596	Entrez Gene
373907	Entrez Gene
423642	Entrez Gene
423776	Entrez Gene
429126	Entrez Gene
396224	Entrez Gene
772114	Entrez Gene
419572	Entrez Gene
421945	Entrez Gene
421059	Entrez Gene
396458	Entrez Gene
427549	Entrez Gene
428017	Entrez Gene
769430	Entrez Gene
