Identifier	Database
395442	Entrez Gene
417374	Entrez Gene
396294	Entrez Gene
396416	Entrez Gene
396226	Entrez Gene
420519	Entrez Gene
771009	Entrez Gene
386572	Entrez Gene
421884	Entrez Gene
431583	Entrez Gene
426130	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
429096	Entrez Gene
424971	Entrez Gene
424826	Entrez Gene
417706	Entrez Gene
419444	Entrez Gene
396503	Entrez Gene
395934	Entrez Gene
427573	Entrez Gene
374016	Entrez Gene
396478	Entrez Gene
424442	Entrez Gene
428148	Entrez Gene
373980	Entrez Gene
421709	Entrez Gene
424442	Entrez Gene
396478	Entrez Gene
428148	Entrez Gene
424442	Entrez Gene
424442	Entrez Gene
396478	Entrez Gene
421709	Entrez Gene
428524	Entrez Gene
428268	Entrez Gene
408043	Entrez Gene
419083	Entrez Gene
395871	Entrez Gene
423105	Entrez Gene
428017	Entrez Gene
429126	Entrez Gene
396494	Entrez Gene
422165	Entrez Gene
419382	Entrez Gene
417181	Entrez Gene
419190	Entrez Gene
417554	Entrez Gene
416955	Entrez Gene
421932	Entrez Gene
425619	Entrez Gene
396238	Entrez Gene
420869	Entrez Gene
396134	Entrez Gene
426773	Entrez Gene
422703	Entrez Gene
419140	Entrez Gene
424442	Entrez Gene
373980	Entrez Gene
396387	Entrez Gene
395928	Entrez Gene
395476	Entrez Gene
417430	Entrez Gene
419455	Entrez Gene
415905	Entrez Gene
418983	Entrez Gene
396442	Entrez Gene
395442	Entrez Gene
395247	Entrez Gene
395247	Entrez Gene
395132	Entrez Gene
395132	Entrez Gene
419140	Entrez Gene
396226	Entrez Gene
417374	Entrez Gene
417374	Entrez Gene
396226	Entrez Gene
417374	Entrez Gene
396226	Entrez Gene
417374	Entrez Gene
396226	Entrez Gene
417374	Entrez Gene
396226	Entrez Gene
