Identifier	Database
422165	Entrez Gene
426918	Entrez Gene
395430	Entrez Gene
396245	Entrez Gene
415549	Entrez Gene
422165	Entrez Gene
422165	Entrez Gene
422165	Entrez Gene
417226	Entrez Gene
395964	Entrez Gene
373996	Entrez Gene
416667	Entrez Gene
373961	Entrez Gene
420475	Entrez Gene
771294	Entrez Gene
427328	Entrez Gene
423081	Entrez Gene
420813	Entrez Gene
418843	Entrez Gene
420176	Entrez Gene
422016	Entrez Gene
395253	Entrez Gene
419208	Entrez Gene
418726	Entrez Gene
420967	Entrez Gene
373983	Entrez Gene
426117	Entrez Gene
396341	Entrez Gene
424673	Entrez Gene
420146	Entrez Gene
373919	Entrez Gene
422165	Entrez Gene
422546	Entrez Gene
395727	Entrez Gene
426072	Entrez Gene
423615	Entrez Gene
416340	Entrez Gene
396193	Entrez Gene
415933	Entrez Gene
416383	Entrez Gene
396494	Entrez Gene
418686	Entrez Gene
396099	Entrez Gene
425279	Entrez Gene
395749	Entrez Gene
418982	Entrez Gene
374193	Entrez Gene
416343	Entrez Gene
396442	Entrez Gene
373953	Entrez Gene
395684	Entrez Gene
425530	Entrez Gene
416214	Entrez Gene
396463	Entrez Gene
395928	Entrez Gene
395609	Entrez Gene
421664	Entrez Gene
395870	Entrez Gene
386582	Entrez Gene
386582	Entrez Gene
420836	Entrez Gene
427966	Entrez Gene
422886	Entrez Gene
416963	Entrez Gene
395832	Entrez Gene
428271	Entrez Gene
421817	Entrez Gene
420095	Entrez Gene
427514	Entrez Gene
420027	Entrez Gene
421817	Entrez Gene
395132	Entrez Gene
768353	Entrez Gene
395303	Entrez Gene
416815	Entrez Gene
396339	Entrez Gene
374123	Entrez Gene
415307	Entrez Gene
771726	Entrez Gene
771726	Entrez Gene
421597	Entrez Gene
428837	Entrez Gene
428441	Entrez Gene
395928	Entrez Gene
416002	Entrez Gene
418000	Entrez Gene
426185	Entrez Gene
396252	Entrez Gene
373953	Entrez Gene
424673	Entrez Gene
416343	Entrez Gene
395337	Entrez Gene
423675	Entrez Gene
395575	Entrez Gene
395285	Entrez Gene
418090	Entrez Gene
408184	Entrez Gene
396200	Entrez Gene
395764	Entrez Gene
395476	Entrez Gene
423901	Entrez Gene
395284	Entrez Gene
396482	Entrez Gene
395724	Entrez Gene
416955	Entrez Gene
395960	Entrez Gene
396099	Entrez Gene
