Identifier	Database
415700	Entrez Gene
378894	Entrez Gene
418325	Entrez Gene
395083	Entrez Gene
417123	Entrez Gene
417287	Entrez Gene
427144	Entrez Gene
417312	Entrez Gene
422592	Entrez Gene
423146	Entrez Gene
378921	Entrez Gene
374012	Entrez Gene
395280	Entrez Gene
395477	Entrez Gene
423901	Entrez Gene
395476	Entrez Gene
395857	Entrez Gene
396282	Entrez Gene
395274	Entrez Gene
373954	Entrez Gene
429064	Entrez Gene
419912	Entrez Gene
395236	Entrez Gene
420332	Entrez Gene
395609	Entrez Gene
396027	Entrez Gene
396033	Entrez Gene
417926	Entrez Gene
426970	Entrez Gene
396093	Entrez Gene
424673	Entrez Gene
419522	Entrez Gene
424081	Entrez Gene
374158	Entrez Gene
419451	Entrez Gene
423750	Entrez Gene
395764	Entrez Gene
395284	Entrez Gene
423471	Entrez Gene
425564	Entrez Gene
373904	Entrez Gene
422062	Entrez Gene
426792	Entrez Gene
423669	Entrez Gene
100858419	Entrez Gene
421438	Entrez Gene
396093	Entrez Gene
100858419	Entrez Gene
421438	Entrez Gene
396033	Entrez Gene
396027	Entrez Gene
374078	Entrez Gene
396384	Entrez Gene
396115	Entrez Gene
374179	Entrez Gene
430409	Entrez Gene
419863	Entrez Gene
418325	Entrez Gene
417900	Entrez Gene
378921	Entrez Gene
415700	Entrez Gene
424080	Entrez Gene
395445	Entrez Gene
416860	Entrez Gene
395674	Entrez Gene
418090	Entrez Gene
395097	Entrez Gene
395889	Entrez Gene
427171	Entrez Gene
395928	Entrez Gene
420624	Entrez Gene
374269	Entrez Gene
419382	Entrez Gene
