Identifier	Database
419940	Entrez Gene
422035	Entrez Gene
396294	Entrez Gene
421127	Entrez Gene
427272	Entrez Gene
395733	Entrez Gene
395757	Entrez Gene
396416	Entrez Gene
427947	Entrez Gene
426867	Entrez Gene
396147	Entrez Gene
374197	Entrez Gene
416490	Entrez Gene
429041	Entrez Gene
416837	Entrez Gene
416051	Entrez Gene
429075	Entrez Gene
426867	Entrez Gene
386572	Entrez Gene
386572	Entrez Gene
425964	Entrez Gene
374256	Entrez Gene
415805	Entrez Gene
427171	Entrez Gene
771142	Entrez Gene
374268	Entrez Gene
373953	Entrez Gene
374075	Entrez Gene
374038	Entrez Gene
395934	Entrez Gene
415691	Entrez Gene
395736	Entrez Gene
421998	Entrez Gene
419280	Entrez Gene
416939	Entrez Gene
422711	Entrez Gene
418212	Entrez Gene
395815	Entrez Gene
426970	Entrez Gene
423901	Entrez Gene
418406	Entrez Gene
422883	Entrez Gene
373938	Entrez Gene
423302	Entrez Gene
427947	Entrez Gene
416247	Entrez Gene
396407	Entrez Gene
417553	Entrez Gene
417173	Entrez Gene
395438	Entrez Gene
428761	Entrez Gene
430423	Entrez Gene
429983	Entrez Gene
420504	Entrez Gene
427243	Entrez Gene
419999	Entrez Gene
420072	Entrez Gene
427243	Entrez Gene
419999	Entrez Gene
386579	Entrez Gene
427327	Entrez Gene
386579	Entrez Gene
415905	Entrez Gene
415905	Entrez Gene
395099	Entrez Gene
417489	Entrez Gene
416588	Entrez Gene
395928	Entrez Gene
395928	Entrez Gene
769797	Entrez Gene
374231	Entrez Gene
424745	Entrez Gene
429960	Entrez Gene
423778	Entrez Gene
426867	Entrez Gene
417637	Entrez Gene
396148	Entrez Gene
419027	Entrez Gene
424673	Entrez Gene
395727	Entrez Gene
421183	Entrez Gene
424912	Entrez Gene
419847	Entrez Gene
386582	Entrez Gene
420558	Entrez Gene
395964	Entrez Gene
395964	Entrez Gene
418335	Entrez Gene
426792	Entrez Gene
423669	Entrez Gene
396093	Entrez Gene
396500	Entrez Gene
396500	Entrez Gene
416567	Entrez Gene
395923	Entrez Gene
419934	Entrez Gene
419346	Entrez Gene
415711	Entrez Gene
419346	Entrez Gene
415711	Entrez Gene
395113	Entrez Gene
378890	Entrez Gene
771172	Entrez Gene
417486	Entrez Gene
423940	Entrez Gene
395435	Entrez Gene
768342	Entrez Gene
395435	Entrez Gene
423940	Entrez Gene
396396	Entrez Gene
416476	Entrez Gene
424528	Entrez Gene
421808	Entrez Gene
374047	Entrez Gene
419928	Entrez Gene
426117	Entrez Gene
396172	Entrez Gene
426516	Entrez Gene
386580	Entrez Gene
378804	Entrez Gene
420815	Entrez Gene
771294	Entrez Gene
768342	Entrez Gene
426885	Entrez Gene
426885	Entrez Gene
420624	Entrez Gene
420624	Entrez Gene
396245	Entrez Gene
415549	Entrez Gene
396349	Entrez Gene
395642	Entrez Gene
374272	Entrez Gene
420027	Entrez Gene
424044	Entrez Gene
420086	Entrez Gene
423952	Entrez Gene
414829	Entrez Gene
396282	Entrez Gene
416567	Entrez Gene
421460	Entrez Gene
396239	Entrez Gene
421460	Entrez Gene
422456	Entrez Gene
427243	Entrez Gene
419999	Entrez Gene
395934	Entrez Gene
421409	Entrez Gene
421409	Entrez Gene
417486	Entrez Gene
395412	Entrez Gene
374268	Entrez Gene
416476	Entrez Gene
417173	Entrez Gene
417553	Entrez Gene
374075	Entrez Gene
395733	Entrez Gene
422456	Entrez Gene
427947	Entrez Gene
415805	Entrez Gene
424745	Entrez Gene
423669	Entrez Gene
426792	Entrez Gene
421127	Entrez Gene
427272	Entrez Gene
421127	Entrez Gene
427272	Entrez Gene
417489	Entrez Gene
395442	Entrez Gene
417706	Entrez Gene
423572	Entrez Gene
