Identifier	Database
419313	Entrez Gene
427262	Entrez Gene
395481	Entrez Gene
421508	Entrez Gene
374233	Entrez Gene
396378	Entrez Gene
420146	Entrez Gene
395198	Entrez Gene
415732	Entrez Gene
378912	Entrez Gene
420788	Entrez Gene
395646	Entrez Gene
416955	Entrez Gene
416567	Entrez Gene
421932	Entrez Gene
427820	Entrez Gene
417554	Entrez Gene
425619	Entrez Gene
374070	Entrez Gene
423518	Entrez Gene
416062	Entrez Gene
420328	Entrez Gene
424542	Entrez Gene
421409	Entrez Gene
419399	Entrez Gene
415905	Entrez Gene
423302	Entrez Gene
395339	Entrez Gene
423518	Entrez Gene
417430	Entrez Gene
420935	Entrez Gene
416446	Entrez Gene
378901	Entrez Gene
395645	Entrez Gene
424409	Entrez Gene
769193	Entrez Gene
395621	Entrez Gene
423930	Entrez Gene
417433	Entrez Gene
395620	Entrez Gene
769420	Entrez Gene
769998	Entrez Gene
395110	Entrez Gene
424360	Entrez Gene
395340	Entrez Gene
422013	Entrez Gene
417438	Entrez Gene
424361	Entrez Gene
395618	Entrez Gene
423581	Entrez Gene
415417	Entrez Gene
424974	Entrez Gene
427945	Entrez Gene
419402	Entrez Gene
416361	Entrez Gene
771582	Entrez Gene
422879	Entrez Gene
423929	Entrez Gene
768829	Entrez Gene
396333	Entrez Gene
771999	Entrez Gene
424538	Entrez Gene
771014	Entrez Gene
772239	Entrez Gene
419190	Entrez Gene
396523	Entrez Gene
396111	Entrez Gene
395412	Entrez Gene
418212	Entrez Gene
419910	Entrez Gene
416692	Entrez Gene
374077	Entrez Gene
396112	Entrez Gene
396446	Entrez Gene
395707	Entrez Gene
374175	Entrez Gene
374174	Entrez Gene
423737	Entrez Gene
422688	Entrez Gene
723973	Entrez Gene
415958	Entrez Gene
374244	Entrez Gene
395759	Entrez Gene
395760	Entrez Gene
396529	Entrez Gene
396549	Entrez Gene
418126	Entrez Gene
396364	Entrez Gene
423195	Entrez Gene
428881	Entrez Gene
395891	Entrez Gene
395895	Entrez Gene
424412	Entrez Gene
374169	Entrez Gene
430991	Entrez Gene
427623	Entrez Gene
428203	Entrez Gene
373890	Entrez Gene
422933	Entrez Gene
395278	Entrez Gene
428084	Entrez Gene
404529	Entrez Gene
396502	Entrez Gene
396501	Entrez Gene
395846	Entrez Gene
395273	Entrez Gene
420397	Entrez Gene
378797	Entrez Gene
428225	Entrez Gene
395771	Entrez Gene
396369	Entrez Gene
395925	Entrez Gene
428146	Entrez Gene
396368	Entrez Gene
396367	Entrez Gene
374097	Entrez Gene
415698	Entrez Gene
770226	Entrez Gene
5957	PubChem-compound
182	Chemspider
5957	PubChem-compound
16761	ChEBI
5957	PubChem-compound
5957	PubChem-compound
