Identifier	Database
408035	Entrez Gene
396245	Entrez Gene
396229	Entrez Gene
419885	Entrez Gene
418207	Entrez Gene
423894	Entrez Gene
427171	Entrez Gene
424225	Entrez Gene
424183	Entrez Gene
386572	Entrez Gene
420948	Entrez Gene
419954	Entrez Gene
425964	Entrez Gene
771142	Entrez Gene
395934	Entrez Gene
429096	Entrez Gene
424971	Entrez Gene
424826	Entrez Gene
419444	Entrez Gene
417706	Entrez Gene
422456	Entrez Gene
419027	Entrez Gene
395681	Entrez Gene
424044	Entrez Gene
374199	Entrez Gene
420027	Entrez Gene
395556	Entrez Gene
415549	Entrez Gene
417430	Entrez Gene
427144	Entrez Gene
419399	Entrez Gene
423302	Entrez Gene
424991	Entrez Gene
416567	Entrez Gene
396349	Entrez Gene
416496	Entrez Gene
415557	Entrez Gene
421579	Entrez Gene
373939	Entrez Gene
373938	Entrez Gene
373953	Entrez Gene
419832	Entrez Gene
423778	Entrez Gene
771985	Entrez Gene
395278	Entrez Gene
419190	Entrez Gene
427925	Entrez Gene
396494	Entrez Gene
426896	Entrez Gene
429489	Entrez Gene
417725	Entrez Gene
420027	Entrez Gene
424883	Entrez Gene
419364	Entrez Gene
418406	Entrez Gene
424986	Entrez Gene
417430	Entrez Gene
424633	Entrez Gene
418174	Entrez Gene
422878	Entrez Gene
419822	Entrez Gene
422277	Entrez Gene
396396	Entrez Gene
418617	Entrez Gene
429466	Entrez Gene
424237	Entrez Gene
421678	Entrez Gene
431014	Entrez Gene
420489	Entrez Gene
423572	Entrez Gene
417217	Entrez Gene
395201	Entrez Gene
395917	Entrez Gene
395584	Entrez Gene
396512	Entrez Gene
427549	Entrez Gene
420332	Entrez Gene
396185	Entrez Gene
416990	Entrez Gene
421934	Entrez Gene
415307	Entrez Gene
396339	Entrez Gene
373961	Entrez Gene
418608	Entrez Gene
395203	Entrez Gene
424673	Entrez Gene
395303	Entrez Gene
395928	Entrez Gene
423085	Entrez Gene
395393	Entrez Gene
386579	Entrez Gene
418605	Entrez Gene
421570	Entrez Gene
417750	Entrez Gene
373963	Entrez Gene
416002	Entrez Gene
418075	Entrez Gene
420147	Entrez Gene
770683	Entrez Gene
426623	Entrez Gene
421183	Entrez Gene
396235	Entrez Gene
396494	Entrez Gene
396494	Entrez Gene
395390	Entrez Gene
428385	Entrez Gene
404293	Entrez Gene
428852	Entrez Gene
424519	Entrez Gene
419083	Entrez Gene
417225	Entrez Gene
415691	Entrez Gene
426970	Entrez Gene
423408	Entrez Gene
395247	Entrez Gene
395132	Entrez Gene
395247	Entrez Gene
395132	Entrez Gene
426873	Entrez Gene
395099	Entrez Gene
374231	Entrez Gene
395832	Entrez Gene
421177	Entrez Gene
374037	Entrez Gene
374175	Entrez Gene
419145	Entrez Gene
422253	Entrez Gene
421177	Entrez Gene
418605	Entrez Gene
424225	Entrez Gene
374231	Entrez Gene
424633	Entrez Gene
373963	Entrez Gene
424044	Entrez Gene
420027	Entrez Gene
428256	Entrez Gene
395584	Entrez Gene
415805	Entrez Gene
415805	Entrez Gene
427947	Entrez Gene
396245	Entrez Gene
422456	Entrez Gene
395934	Entrez Gene
424986	Entrez Gene
415691	Entrez Gene
417225	Entrez Gene
404293	Entrez Gene
416002	Entrez Gene
416002	Entrez Gene
418075	Entrez Gene
424044	Entrez Gene
396442	Entrez Gene
374038	Entrez Gene
417553	Entrez Gene
416939	Entrez Gene
395871	Entrez Gene
421998	Entrez Gene
373996	Entrez Gene
417772	Entrez Gene
418727	Entrez Gene
374176	Entrez Gene
424409	Entrez Gene
416630	Entrez Gene
395299	Entrez Gene
428692	Entrez Gene
420649	Entrez Gene
423110	Entrez Gene
769725	Entrez Gene
428256	Entrez Gene
378921	Entrez Gene
419964	Entrez Gene
427758	Entrez Gene
427327	Entrez Gene
417438	Entrez Gene
427947	Entrez Gene
395815	Entrez Gene
373953	Entrez Gene
415549	Entrez Gene
374192	Entrez Gene
374192	Entrez Gene
769725	Entrez Gene
769725	Entrez Gene
408035	Entrez Gene
408035	Entrez Gene
395203	Entrez Gene
396494	Entrez Gene
