Identifier	Database
374199	Entrez Gene
396442	Entrez Gene
424044	Entrez Gene
395934	Entrez Gene
386572	Entrez Gene
415549	Entrez Gene
373953	Entrez Gene
396349	Entrez Gene
425972	Entrez Gene
395928	Entrez Gene
417706	Entrez Gene
416630	Entrez Gene
395556	Entrez Gene
395335	Entrez Gene
420027	Entrez Gene
420027	Entrez Gene
424044	Entrez Gene
386580	Entrez Gene
395153	Entrez Gene
386572	Entrez Gene
396245	Entrez Gene
425964	Entrez Gene
428017	Entrez Gene
374199	Entrez Gene
429126	Entrez Gene
427327	Entrez Gene
396245	Entrez Gene
425964	Entrez Gene
427327	Entrez Gene
